id,title,body,category,priority
286,Contratto fornitura,Vorrei ricevere un preventivo per i vostri servizi Solo per avere informazioni.,Commerciale,bassa
287,Tracciamento ordine,Siamo interessati a una partnership commerciale È solo una domanda informativa.,Commerciale,bassa
288,Software non funziona,Il sistema è molto lento per mancanza di RAM Fatemi sapere.,Tecnico,media
289,Backup fallito,La stampante non risponde ai comandi di stampa È solo una domanda informativa.,Tecnico,bassa
290,Offerta speciale,Richiedo il listino prezzi aggiornato Solo per curiosità.,Commerciale,bassa
291,Aggiornamento fallito,Alcuni tasti della tastiera non funzionano Solo per avere informazioni.,Tecnico,bassa
292,Certificato lavoro,Richiedo informazioni sul congedo di maternità Solo per avere informazioni.,Amministrazione,bassa
293,Reclamo prodotto,La fattura ricevuta contiene degli errori Solo per avere informazioni.,Commerciale,bassa
294,Rinnovo abbonamento,Richiedo il listino prezzi aggiornato Senza fretta.,Commerciale,bassa
295,Busta paga errata,Il mio contratto è in scadenza Cordiali saluti.,Amministrazione,media
296,Contratto da firmare,Devo richiedere il rimborso delle spese di viaggio Solo per avere informazioni.,Amministrazione,bassa
297,Disco pieno,"La chiavetta USB non viene riconosciuta Sono fermo, non posso procedere.",Tecnico,alta
298,Trasferta,"Vorrei richiedere le ferie per il mese prossimo Urgentissimo, il cliente attende.",Amministrazione,alta
299,Nota spese,Devo aggiornare il mio indirizzo di residenza Cordiali saluti.,Amministrazione,media
300,Trasferta,Ho bisogno di un attestato di servizio A vostra comodità.,Amministrazione,bassa
301,Modifica ordine,Ho bisogno di una spedizione urgente Solo per curiosità.,Commerciale,bassa
302,Reso merce,È possibile ricevere dei campioni gratuiti?,Commerciale,media
303,Errore contributi,Devo comunicare un periodo di malattia Grazie in anticipo.,Amministrazione,media
304,Ordine in ritardo,"Sono un nuovo cliente e vorrei registrarmi Quando possibile, grazie.",Commerciale,media
305,Sollecito pagamento,Richiedo il listino prezzi aggiornato Grazie in anticipo.,Commerciale,media
306,Email non arrivano,La chiavetta USB non viene riconosciuta È bloccante per il mio lavoro.,Tecnico,alta
307,Disco pieno,Il disco C: è quasi pieno,Tecnico,media
308,Disponibilità articolo,Vorrei discutere un contratto di fornitura Grazie per l'assistenza.,Commerciale,media
309,Informazioni prodotto,Vorrei tracciare il mio ordine,Commerciale,media
310,Mouse non funziona,Il monitor presenta sfarfallii continui Senza fretta.,Tecnico,bassa
311,Assistenza post-vendita,"Vorrei verificare il credito residuo Non è urgente, quando avete tempo.",Commerciale,bassa
312,Cambio IBAN,Ho bisogno di modificare le detrazioni fiscali Fatemi sapere.,Amministrazione,media
313,Software non funziona,Il server aziendale non è raggiungibile Resto in attesa di risposta.,Tecnico,media
314,CUD mancante,Il cedolino presenta delle anomalie Ho bisogno di aiuto immediato.,Amministrazione,alta
315,Trasferta,"Devo aggiornare il mio indirizzo di residenza Emergenza, serve intervento immediato.",Amministrazione,alta
316,Pagamento effettuato,Richiedo il listino prezzi aggiornato Senza fretta.,Commerciale,bassa
317,Certificato lavoro,Vorrei informazioni sulla liquidazione del TFR È solo una domanda informativa.,Amministrazione,bassa
318,Upgrade piano,Vorrei effettuare il reso della merce acquistata Solo per curiosità.,Commerciale,bassa
319,Straordinari non pagati,Devo organizzare una trasferta di lavoro È bloccante per il mio lavoro.,Amministrazione,alta
320,Richiesta permesso,Vorrei attivare lo smart working È solo una domanda informativa.,Amministrazione,bassa
321,Sostituzione articolo,"È possibile ricevere dei campioni gratuiti? Non è urgente, quando avete tempo.",Commerciale,bassa
322,Offerta speciale,L'articolo che cerco è disponibile in magazzino? Problema grave che blocca tutto.,Commerciale,alta
323,Attestato di servizio,Devo organizzare una trasferta di lavoro Resto in attesa di risposta.,Amministrazione,media
324,Prestito aziendale,"Non ho ricevuto la CUD di quest'anno Emergenza, serve intervento immediato.",Amministrazione,alta
325,Password dimenticata,Il sistema mostra un errore critico all'avvio Solo per avere informazioni.,Tecnico,bassa
326,Bluetooth non funziona,Il sistema mostra un errore critico all'avvio Resto in attesa di risposta.,Tecnico,media
327,Annullamento ordine,"Vorrei verificare il credito residuo Emergenza, serve intervento immediato.",Commerciale,alta
328,Pagamento effettuato,"Devo rinnovare il mio abbonamento Non è urgente, quando avete tempo.",Commerciale,bassa
329,Reclamo prodotto,Vorrei verificare il credito residuo Resto in attesa di risposta.,Commerciale,media
330,Attestato di servizio,"Gli straordinari del mese scorso non sono stati pagati Emergenza, serve intervento immediato.",Amministrazione,alta
331,Attestato di servizio,Devo comunicare un periodo di malattia Resto in attesa di risposta.,Amministrazione,media
332,Trasferta,Richiedo una variazione dell'orario di lavoro Attendo riscontro.,Amministrazione,media
333,Sollecito pagamento,Confermo di aver effettuato il pagamento Senza fretta.,Commerciale,bassa
334,Errore contributi,Ho ricevuto il contratto da firmare A vostra comodità.,Amministrazione,bassa
335,Lettera referenze,"Ho bisogno di una lettera di referenze Emergenza, serve intervento immediato.",Amministrazione,alta
336,Reclamo prodotto,Richiedo la sostituzione dell'articolo difettoso Cordiali saluti.,Commerciale,media
337,Congedo parentale,"Devo aggiornare la richiesta assegni familiari È urgente, non riesco a lavorare.",Amministrazione,alta
338,Server non risponde,La connessione VPN si disconnette continuamente Attendo riscontro.,Tecnico,media
339,Server non risponde,"Il file Excel non si apre correttamente Non è urgente, quando avete tempo.",Tecnico,bassa
340,Listino prezzi,"Richiedo il listino prezzi aggiornato Urgentissimo, il cliente attende.",Commerciale,alta
341,Rimborso spese,Ho bisogno di un certificato di lavoro per la banca È bloccante per il mio lavoro.,Amministrazione,alta
342,Virus rilevato,Il sistema mostra un errore critico all'avvio,Tecnico,media
343,Configurazione email,Non riesco a collegare dispositivi Bluetooth Resto in attesa di risposta.,Tecnico,media
344,VPN non funziona,"Impossibile navigare su internet Emergenza, serve intervento immediato.",Tecnico,alta
345,Credito cliente,L'articolo che cerco è disponibile in magazzino? Problema grave che blocca tutto.,Commerciale,alta
346,RAM insufficiente,Non esce audio dalle casse del computer Fatemi sapere.,Tecnico,media
347,Richiesta preventivo,Ho bisogno di una spedizione urgente Cordiali saluti.,Commerciale,media
348,Variazione orario,Gli straordinari del mese scorso non sono stati pagati Solo per avere informazioni.,Amministrazione,bassa
349,Listino prezzi,Vorrei informazioni sulla promozione attiva Solo per curiosità.,Commerciale,bassa
350,Dimissioni,"I contributi versati risultano errati Situazione critica, sistema bloccato.",Amministrazione,alta
351,Aggiornamento fallito,Lo schermo rimane nero dopo l'accensione Problema grave che blocca tutto.,Tecnico,alta
352,Credito cliente,Vorrei ricevere il catalogo prodotti completo Problema grave che blocca tutto.,Commerciale,alta
353,Software da installare,"L'applicazione si chiude inaspettatamente Quando possibile, grazie.",Tecnico,media
354,Configurazione email,"L'aggiornamento del sistema operativo è fallito È urgente, non riesco a lavorare.",Tecnico,alta
355,Problema cedolino,Il mio contratto è in scadenza Non è prioritario.,Amministrazione,bassa
356,Tracciamento ordine,"Vorrei ricevere il catalogo prodotti completo Emergenza, serve intervento immediato.",Commerciale,alta
357,Prestito aziendale,Vorrei informazioni sulla liquidazione del TFR Solo per curiosità.,Amministrazione,bassa
358,Errore contributi,I contributi versati risultano errati Cordiali saluti.,Amministrazione,media
359,Feedback servizio,Vorrei lasciare un feedback sul servizio ricevuto Fatemi sapere.,Commerciale,media
360,Lettera referenze,Devo comunicare il nuovo IBAN per l'accredito stipendio È solo una domanda informativa.,Amministrazione,bassa
361,Assegni familiari,Ho bisogno di un attestato di servizio Problema grave che blocca tutto.,Amministrazione,alta
362,Garanzia prodotto,Siamo interessati a una partnership commerciale Problema grave che blocca tutto.,Commerciale,alta
363,Rinnovo abbonamento,Vorrei effettuare il reso della merce acquistata Solo per avere informazioni.,Commerciale,bassa
364,CUD mancante,I contributi versati risultano errati Senza fretta.,Amministrazione,bassa
365,Problema di rete,Il server aziendale non è raggiungibile Quando possibile.,Tecnico,bassa
366,Tracciamento ordine,"Vorrei tracciare il mio ordine Non è urgente, quando avete tempo.",Commerciale,bassa
367,CUD mancante,Devo aggiornare il mio indirizzo di residenza Non è prioritario.,Amministrazione,bassa
368,File corrotto,La webcam non viene riconosciuta dal sistema Resto in attesa di risposta.,Tecnico,media
369,Software non funziona,Alcuni tasti della tastiera non funzionano È solo una domanda informativa.,Tecnico,bassa
370,Busta paga errata,Vorrei attivare lo smart working Solo per curiosità.,Amministrazione,bassa
371,Disco pieno,Il computer impiega troppo tempo ad avviarsi Resto in attesa di risposta.,Tecnico,media
372,Credito cliente,Sono un nuovo cliente e vorrei registrarmi È solo una domanda informativa.,Commerciale,bassa
373,Driver mancante,Alcuni tasti della tastiera non funzionano È solo una domanda informativa.,Tecnico,bassa
374,Configurazione email,Il PC si spegne improvvisamente senza motivo È bloccante per il mio lavoro.,Tecnico,alta
375,Disponibilità articolo,Confermo di aver effettuato il pagamento Ho bisogno di aiuto immediato.,Commerciale,alta
376,Problema cedolino,Gli straordinari del mese scorso non sono stati pagati Ho bisogno di aiuto immediato.,Amministrazione,alta
377,Maternità,Vorrei attivare lo smart working Quando possibile.,Amministrazione,bassa
378,Informazioni prodotto,Richiedo il listino prezzi aggiornato Attendo riscontro.,Commerciale,media
379,Trasferta,Non ho ricevuto la CUD di quest'anno Resto in attesa di risposta.,Amministrazione,media
380,Busta paga errata,Ho ricevuto il contratto da firmare Cordiali saluti.,Amministrazione,media
381,Busta paga errata,Non ho ricevuto la CUD di quest'anno Grazie per l'assistenza.,Amministrazione,media
382,Lettera referenze,Richiedo una variazione dell'orario di lavoro A vostra comodità.,Amministrazione,bassa
383,Cambio IBAN,Gli straordinari del mese scorso non sono stati pagati,Amministrazione,media
384,PC si spegne da solo,Il monitor presenta sfarfallii continui È bloccante per il mio lavoro.,Tecnico,alta
385,Rinnovo contratto,Ho bisogno di un attestato di servizio A vostra comodità.,Amministrazione,bassa
386,Smart working,Ho notato un errore nell'importo della busta paga Cordiali saluti.,Amministrazione,media
387,Stampante non stampa,"Il PC si spegne improvvisamente senza motivo È urgente, non riesco a lavorare.",Tecnico,alta
388,Schermo nero,La stampante non risponde ai comandi di stampa Senza fretta.,Tecnico,bassa
389,Licenza scaduta,"La connessione VPN si disconnette continuamente Urgentissimo, il cliente attende.",Tecnico,alta
390,Rinnovo abbonamento,Siamo interessati a una partnership commerciale Ho bisogno di aiuto immediato.,Commerciale,alta
391,Assegni familiari,Devo organizzare una trasferta di lavoro Quando possibile.,Amministrazione,bassa
392,File corrotto,"L'antivirus ha rilevato una minaccia Emergenza, serve intervento immediato.",Tecnico,alta
393,Contratto da firmare,Devo aggiornare la richiesta assegni familiari,Amministrazione,media
394,Busta paga errata,Devo organizzare una trasferta di lavoro,Amministrazione,media
395,Richiesta campioni,Ho bisogno di assistenza post-vendita Solo per avere informazioni.,Commerciale,bassa
396,Nota spese,Ho notato un errore nell'importo della busta paga Grazie in anticipo.,Amministrazione,media
397,Tracciamento ordine,"Devo rinnovare il mio abbonamento È urgente, non riesco a lavorare.",Commerciale,alta
398,Dimissioni,I contributi versati risultano errati Cordiali saluti.,Amministrazione,media
399,Disdetta servizio,Devo rinnovare il mio abbonamento È solo una domanda informativa.,Commerciale,bassa
400,Configurazione email,L'aggiornamento del sistema operativo è fallito È bloccante per il mio lavoro.,Tecnico,alta
401,Assistenza post-vendita,Vorrei lasciare un feedback sul servizio ricevuto Cordiali saluti.,Commerciale,media
402,Stampante non stampa,Il computer impiega troppo tempo ad avviarsi Solo per curiosità.,Tecnico,bassa
403,Assegni familiari,"Ho bisogno di una lettera di referenze Non è urgente, quando avete tempo.",Amministrazione,bassa
404,Certificato lavoro,Vorrei informazioni sulla liquidazione del TFR Grazie per l'assistenza.,Amministrazione,media
405,Congedo parentale,Vorrei richiedere il congedo parentale Grazie in anticipo.,Amministrazione,media
406,Garanzia prodotto,Vorrei ricevere un preventivo per i vostri servizi,Commerciale,media
407,Cambio mansione,Ho ricevuto il contratto da firmare Resto in attesa di risposta.,Amministrazione,media
408,Software da installare,"Il backup automatico non viene eseguito Non è urgente, quando avete tempo.",Tecnico,bassa
409,Sollecito pagamento,Vorrei verificare il credito residuo Resto in attesa di risposta.,Commerciale,media
410,Pagamento effettuato,"Vorrei ricevere un preventivo per i vostri servizi Quando possibile, grazie.",Commerciale,media
411,Driver mancante,"Il sistema nega l'accesso ai file condivisi È urgente, non riesco a lavorare.",Tecnico,alta
412,Feedback servizio,"Vorrei lasciare un feedback sul servizio ricevuto Sono fermo, non posso procedere.",Commerciale,alta
413,Connessione internet assente,Il computer impiega troppo tempo ad avviarsi Solo per avere informazioni.,Tecnico,bassa
414,Sostituzione articolo,Vorrei informazioni sulla promozione attiva A vostra comodità.,Commerciale,bassa
415,Nota spese,"Ho bisogno di un certificato di lavoro per la banca Quando possibile, grazie.",Amministrazione,media
416,Modifica anagrafica,Vorrei attivare lo smart working È solo una domanda informativa.,Amministrazione,bassa
417,Reso merce,"Richiedo il listino prezzi aggiornato Emergenza, serve intervento immediato.",Commerciale,alta
418,Backup fallito,Il computer impiega troppo tempo ad avviarsi Solo per avere informazioni.,Tecnico,bassa
419,Nota spese,Gli straordinari del mese scorso non sono stati pagati A vostra comodità.,Amministrazione,bassa
420,Sconto richiesto,Ho bisogno di assistenza post-vendita Solo per curiosità.,Commerciale,bassa
421,Nuovo cliente,Vorrei ricevere il catalogo prodotti completo A vostra comodità.,Commerciale,bassa
422,CUD mancante,Vorrei attivare lo smart working Senza fretta.,Amministrazione,bassa
423,Tastiera bloccata,"Il PC si spegne improvvisamente senza motivo Non è urgente, quando avete tempo.",Tecnico,bassa
424,VPN non funziona,"L'antivirus ha rilevato una minaccia Quando possibile, grazie.",Tecnico,media
425,Congedo parentale,"Ho notato un errore nell'importo della busta paga Quando possibile, grazie.",Amministrazione,media
426,Nuovo cliente,"È possibile ottenere uno sconto per grandi quantità? Quando possibile, grazie.",Commerciale,media
427,Sconto richiesto,Il mio ordine è in ritardo rispetto alla data prevista Resto in attesa di risposta.,Commerciale,media
428,File corrotto,Alcuni tasti della tastiera non funzionano Grazie in anticipo.,Tecnico,media
429,File corrotto,Il mouse wireless non risponde Attendo riscontro.,Tecnico,media
430,Driver mancante,"La chiavetta USB non viene riconosciuta Sono fermo, non posso procedere.",Tecnico,alta
431,Problema cedolino,Il mio contratto è in scadenza Fatemi sapere.,Amministrazione,media
432,Sollecito pagamento,Ci sono offerte speciali in corso? Grazie per l'assistenza.,Commerciale,media
433,Informazioni prodotto,L'articolo che cerco è disponibile in magazzino? Resto in attesa di risposta.,Commerciale,media
434,Assegni familiari,Vorrei attivare lo smart working Solo per curiosità.,Amministrazione,bassa
435,Richiesta TFR,Ho bisogno di modificare le detrazioni fiscali Solo per avere informazioni.,Amministrazione,bassa
436,Certificato lavoro,Ho ricevuto il contratto da firmare Non è prioritario.,Amministrazione,bassa
437,Prestito aziendale,I contributi versati risultano errati Grazie in anticipo.,Amministrazione,media
438,Computer lento,La stampante non risponde ai comandi di stampa Solo per avere informazioni.,Tecnico,bassa
439,Contratto da firmare,Devo comunicare un periodo di malattia Non è prioritario.,Amministrazione,bassa
440,Richiesta TFR,Vorrei informazioni sul prestito aziendale,Amministrazione,media
441,Driver mancante,L'aggiornamento del sistema operativo è fallito Resto in attesa di risposta.,Tecnico,media
442,Configurazione email,L'applicazione si chiude inaspettatamente Non è prioritario.,Tecnico,bassa
443,Configurazione email,Il monitor presenta sfarfallii continui Fatemi sapere.,Tecnico,media
444,Tracciamento ordine,Invio sollecito per il pagamento della fattura,Commerciale,media
445,Assegni familiari,"Richiedo un anticipo sullo stipendio Emergenza, serve intervento immediato.",Amministrazione,alta
446,Richiesta permesso,Vorrei richiedere il congedo parentale,Amministrazione,media
447,RAM insufficiente,"Non riesco a collegare dispositivi Bluetooth Emergenza, serve intervento immediato.",Tecnico,alta
448,Richiesta campioni,Vorrei effettuare il reso della merce acquistata Quando possibile.,Commerciale,bassa
449,Contratto fornitura,"Vorrei discutere un contratto di fornitura Quando possibile, grazie.",Commerciale,media
450,Modifica ordine,"Ci sono offerte speciali in corso? Non è urgente, quando avete tempo.",Commerciale,bassa
451,Upgrade piano,Richiedo il listino prezzi aggiornato Solo per avere informazioni.,Commerciale,bassa
452,Aggiornamento fallito,"Il computer impiega troppo tempo ad avviarsi Non è urgente, quando avete tempo.",Tecnico,bassa
453,Virus rilevato,Il sistema mostra un errore critico all'avvio A vostra comodità.,Tecnico,bassa
454,Problema di rete,La connessione VPN si disconnette continuamente Non è prioritario.,Tecnico,bassa
455,Virus rilevato,"Devo configurare la mia casella email Non è urgente, quando avete tempo.",Tecnico,bassa
456,Prestito aziendale,Invio la nota spese del mese Cordiali saluti.,Amministrazione,media
457,Licenza scaduta,Il server aziendale non è raggiungibile A vostra comodità.,Tecnico,bassa
458,Bluetooth non funziona,"Il mouse wireless non risponde Non è urgente, quando avete tempo.",Tecnico,bassa
459,Certificato lavoro,Il cedolino presenta delle anomalie Resto in attesa di risposta.,Amministrazione,media
460,Lettera referenze,Devo aggiornare il mio indirizzo di residenza Grazie in anticipo.,Amministrazione,media
461,Trasferta,Richiedo un cambio di mansione Ho bisogno di aiuto immediato.,Amministrazione,alta
462,Promozione attiva,"Ho bisogno di una spedizione urgente Sono fermo, non posso procedere.",Commerciale,alta
463,Webcam non rilevata,La webcam non viene riconosciuta dal sistema Ho bisogno di aiuto immediato.,Tecnico,alta
464,Promozione attiva,Ho bisogno di assistenza post-vendita Attendo riscontro.,Commerciale,media
465,Disco pieno,"La chiavetta USB non viene riconosciuta Non è urgente, quando avete tempo.",Tecnico,bassa
466,File corrotto,Il sistema mostra un errore critico all'avvio A vostra comodità.,Tecnico,bassa
467,Password dimenticata,Il PC si spegne improvvisamente senza motivo Ho bisogno di aiuto immediato.,Tecnico,alta
468,Straordinari non pagati,"Vorrei informazioni sul prestito aziendale Non è urgente, quando avete tempo.",Amministrazione,bassa
469,Server non risponde,La connessione VPN si disconnette continuamente Solo per curiosità.,Tecnico,bassa
470,Sostituzione articolo,"Invio sollecito per il pagamento della fattura Non è urgente, quando avete tempo.",Commerciale,bassa
471,Rinnovo contratto,"Ho bisogno di un attestato di servizio Non è urgente, quando avete tempo.",Amministrazione,bassa
472,Promozione attiva,Ho bisogno di assistenza post-vendita Resto in attesa di risposta.,Commerciale,media
473,Stampante non stampa,Il monitor presenta sfarfallii continui Solo per avere informazioni.,Tecnico,bassa
474,Tastiera bloccata,Manca il driver della scheda video È bloccante per il mio lavoro.,Tecnico,alta
475,File corrotto,Non riesco a connettermi alla rete aziendale È bloccante per il mio lavoro.,Tecnico,alta
476,Cambio mansione,Richiedo un anticipo sullo stipendio,Amministrazione,media
477,Problema di rete,Impossibile navigare su internet,Tecnico,media
478,RAM insufficiente,Il server aziendale non è raggiungibile Grazie per l'assistenza.,Tecnico,media
479,Feedback servizio,"Vorrei informazioni sulla promozione attiva Urgentissimo, il cliente attende.",Commerciale,alta
480,Catalogo prodotti,"L'articolo che cerco è disponibile in magazzino? Sono fermo, non posso procedere.",Commerciale,alta
481,CUD mancante,Ho bisogno di una lettera di referenze Fatemi sapere.,Amministrazione,media
482,Ordine in ritardo,"Vorrei tracciare il mio ordine Non è urgente, quando avete tempo.",Commerciale,bassa
483,Audio non funziona,Non esce audio dalle casse del computer Ho bisogno di aiuto immediato.,Tecnico,alta
484,Stampante non stampa,Lo schermo rimane nero dopo l'accensione È solo una domanda informativa.,Tecnico,bassa
485,Credito cliente,"Vorrei disdire il servizio attivo Urgentissimo, il cliente attende.",Commerciale,alta
486,Ordine in ritardo,Ci sono offerte speciali in corso? Quando possibile.,Commerciale,bassa
487,Modifica anagrafica,"Richiedo informazioni sul congedo di maternità Non è urgente, quando avete tempo.",Amministrazione,bassa
488,Spedizione urgente,Devo rinnovare il mio abbonamento Grazie in anticipo.,Commerciale,media
489,Certificato lavoro,Invio la nota spese del mese Attendo riscontro.,Amministrazione,media
490,Feedback servizio,Ho bisogno di assistenza post-vendita Senza fretta.,Commerciale,bassa
491,Dimissioni,"Richiedo un cambio di mansione Emergenza, serve intervento immediato.",Amministrazione,alta
492,Bluetooth non funziona,La stampante non risponde ai comandi di stampa Non è prioritario.,Tecnico,bassa
493,USB non riconosciuta,"La licenza del software è scaduta Quando possibile, grazie.",Tecnico,media
494,Virus rilevato,Il sistema nega l'accesso ai file condivisi Non è prioritario.,Tecnico,bassa
495,Attestato di servizio,Ho notato un errore nell'importo della busta paga Quando possibile.,Amministrazione,bassa
496,Schermo nero,Il monitor presenta sfarfallii continui A vostra comodità.,Tecnico,bassa
497,CUD mancante,"Devo aggiornare il mio indirizzo di residenza Situazione critica, sistema bloccato.",Amministrazione,alta
498,Straordinari non pagati,Devo aggiornare la richiesta assegni familiari Grazie in anticipo.,Amministrazione,media
499,Backup fallito,Il PC si spegne improvvisamente senza motivo Fatemi sapere.,Tecnico,media
500,Modello 730,Devo aggiornare la richiesta assegni familiari Quando possibile.,Amministrazione,bassa
501,Errore contributi,Vorrei informazioni sul prestito aziendale A vostra comodità.,Amministrazione,bassa
502,Errore contributi,"Vorrei informazioni sul prestito aziendale Emergenza, serve intervento immediato.",Amministrazione,alta
503,Reso merce,"Vorrei tracciare il mio ordine Sono fermo, non posso procedere.",Commerciale,alta
504,Ordine in ritardo,Vorrei disdire il servizio attivo Ho bisogno di aiuto immediato.,Commerciale,alta
505,Contratto da firmare,Devo richiedere il rimborso delle spese di viaggio È solo una domanda informativa.,Amministrazione,bassa
506,Lettera referenze,Vorrei attivare lo smart working Senza fretta.,Amministrazione,bassa
507,Dimissioni,"Vorrei richiedere le ferie per il mese prossimo Urgentissimo, il cliente attende.",Amministrazione,alta
508,Richiesta TFR,Ho notato un errore nell'importo della busta paga È bloccante per il mio lavoro.,Amministrazione,alta
509,Audio non funziona,Il file Excel non si apre correttamente A vostra comodità.,Tecnico,bassa
510,Monitor sfarfalla,"Ho bisogno di installare un nuovo software Non è urgente, quando avete tempo.",Tecnico,bassa
511,Anticipo stipendio,"Ho bisogno di un attestato di servizio Emergenza, serve intervento immediato.",Amministrazione,alta
512,Accesso negato,Il server aziendale non è raggiungibile Solo per avere informazioni.,Tecnico,bassa
513,Straordinari non pagati,"Devo organizzare una trasferta di lavoro Urgentissimo, il cliente attende.",Amministrazione,alta
514,Errore contributi,Non ho ricevuto la CUD di quest'anno Grazie in anticipo.,Amministrazione,media
515,Virus rilevato,Il PC si spegne improvvisamente senza motivo Non è prioritario.,Tecnico,bassa
516,Catalogo prodotti,Vorrei informazioni sulla promozione attiva Resto in attesa di risposta.,Commerciale,media
517,Tracciamento ordine,"Il prodotto è ancora in garanzia? Sono fermo, non posso procedere.",Commerciale,alta
518,Disco pieno,"Impossibile navigare su internet Sono fermo, non posso procedere.",Tecnico,alta
519,Rinnovo abbonamento,Ho bisogno di assistenza post-vendita Senza fretta.,Commerciale,bassa
520,Richiesta ferie,Il cedolino presenta delle anomalie Solo per curiosità.,Amministrazione,bassa
521,Richiesta campioni,Devo rinnovare il mio abbonamento Problema grave che blocca tutto.,Commerciale,alta
522,Congedo parentale,Ho notato un errore nell'importo della busta paga Problema grave che blocca tutto.,Amministrazione,alta
523,Certificato lavoro,Vorrei informazioni sul prestito aziendale Grazie in anticipo.,Amministrazione,media
524,Smart working,Devo richiedere il rimborso delle spese di viaggio Cordiali saluti.,Amministrazione,media
525,Tastiera bloccata,L'applicazione si chiude inaspettatamente Grazie in anticipo.,Tecnico,media
526,Detrazioni fiscali,Vorrei informazioni sul prestito aziendale Problema grave che blocca tutto.,Amministrazione,alta
527,Catalogo prodotti,L'articolo che cerco è disponibile in magazzino? È bloccante per il mio lavoro.,Commerciale,alta
528,Ordine in ritardo,Vorrei discutere un contratto di fornitura Resto in attesa di risposta.,Commerciale,media
529,Modifica anagrafica,Richiedo un permesso per visita medica Attendo riscontro.,Amministrazione,media
530,Virus rilevato,Impossibile navigare su internet Solo per curiosità.,Tecnico,bassa
531,Congedo parentale,Il cedolino presenta delle anomalie Grazie per l'assistenza.,Amministrazione,media
532,Server non risponde,"Non esce audio dalle casse del computer Quando possibile, grazie.",Tecnico,media
533,Sollecito pagamento,Ho bisogno di informazioni su un prodotto specifico Fatemi sapere.,Commerciale,media
534,Informazioni prodotto,Vorrei discutere un contratto di fornitura Grazie per l'assistenza.,Commerciale,media
535,Rimborso spese,"Vorrei attivare lo smart working Quando possibile, grazie.",Amministrazione,media
536,Ordine in ritardo,Vorrei informazioni sulla promozione attiva Attendo riscontro.,Commerciale,media
537,Annullamento ordine,Ho bisogno di assistenza post-vendita Solo per avere informazioni.,Commerciale,bassa
538,Modifica ordine,Richiedo la sostituzione dell'articolo difettoso A vostra comodità.,Commerciale,bassa
539,Mouse non funziona,"Non esce audio dalle casse del computer Situazione critica, sistema bloccato.",Tecnico,alta
540,File corrotto,Non riesco a connettermi alla rete aziendale Solo per curiosità.,Tecnico,bassa
541,Garanzia prodotto,Sono un nuovo cliente e vorrei registrarmi È bloccante per il mio lavoro.,Commerciale,alta
542,Promozione attiva,L'articolo che cerco è disponibile in magazzino? Grazie in anticipo.,Commerciale,media
543,Driver mancante,"Non riesco a collegare dispositivi Bluetooth Quando possibile, grazie.",Tecnico,media
544,Attestato di servizio,"Ho bisogno di una lettera di referenze Quando possibile, grazie.",Amministrazione,media
545,PC si spegne da solo,Impossibile navigare su internet Fatemi sapere.,Tecnico,media
546,Fattura errata,Vorrei discutere un contratto di fornitura Senza fretta.,Commerciale,bassa
547,Problema cedolino,"Non ho ricevuto la CUD di quest'anno Urgentissimo, il cliente attende.",Amministrazione,alta
548,Problema di rete,"Devo configurare la mia casella email Quando possibile, grazie.",Tecnico,media
549,Monitor sfarfalla,Il sistema è molto lento per mancanza di RAM Resto in attesa di risposta.,Tecnico,media
550,Configurazione email,La stampante non risponde ai comandi di stampa Resto in attesa di risposta.,Tecnico,media
551,Audio non funziona,Il backup automatico non viene eseguito Grazie in anticipo.,Tecnico,media
552,Offerta speciale,Vorrei informazioni sulla promozione attiva Resto in attesa di risposta.,Commerciale,media
553,Reclamo prodotto,"Vorrei lasciare un feedback sul servizio ricevuto Emergenza, serve intervento immediato.",Commerciale,alta
554,Ordine in ritardo,Sono un nuovo cliente e vorrei registrarmi Attendo riscontro.,Commerciale,media
555,Assistenza post-vendita,Ci sono offerte speciali in corso? Problema grave che blocca tutto.,Commerciale,alta
556,Malattia,"Vorrei informazioni sul prestito aziendale È urgente, non riesco a lavorare.",Amministrazione,alta
557,Audio non funziona,"Non ricordo la password del mio account Sono fermo, non posso procedere.",Tecnico,alta
558,Problema cedolino,Devo richiedere il rimborso delle spese di viaggio Quando possibile.,Amministrazione,bassa
559,Software non funziona,"Lo schermo rimane nero dopo l'accensione Emergenza, serve intervento immediato.",Tecnico,alta
560,Email non arrivano,"Il monitor presenta sfarfallii continui Emergenza, serve intervento immediato.",Tecnico,alta
561,Informazioni prodotto,Vorrei verificare il credito residuo Resto in attesa di risposta.,Commerciale,media
562,Congedo parentale,"Devo aggiornare la richiesta assegni familiari È urgente, non riesco a lavorare.",Amministrazione,alta
563,Ordine in ritardo,Ho bisogno di una spedizione urgente,Commerciale,media
564,Software non funziona,L'applicazione si chiude inaspettatamente Solo per curiosità.,Tecnico,bassa
565,Richiesta ferie,Devo richiedere il rimborso delle spese di viaggio Grazie per l'assistenza.,Amministrazione,media
566,Busta paga errata,"Richiedo un anticipo sullo stipendio Urgentissimo, il cliente attende.",Amministrazione,alta
567,Stampante non stampa,La webcam non viene riconosciuta dal sistema Senza fretta.,Tecnico,bassa
568,Assistenza post-vendita,"L'articolo che cerco è disponibile in magazzino? Situazione critica, sistema bloccato.",Commerciale,alta
569,Backup fallito,La stampante non risponde ai comandi di stampa Quando possibile.,Tecnico,bassa
