id,title,body,category,priority,full_text
240,Informazioni prodotto,"L'articolo che cerco è disponibile in magazzino? È urgente, non riesco a lavorare.",Commerciale,alta,informazioni prodotto l'articolo che cerco è disponibile in magazzino è urgente non riesco a lavorare
241,Detrazioni fiscali,Vorrei richiedere le ferie per il mese prossimo Cordiali saluti.,Amministrazione,media,detrazioni fiscali vorrei richiedere le ferie per il mese prossimo cordiali saluti
242,Server non risponde,"Manca il driver della scheda video È urgente, non riesco a lavorare.",Tecnico,alta,server non risponde manca il driver della scheda video è urgente non riesco a lavorare
243,File corrotto,Non riesco a collegare dispositivi Bluetooth Resto in attesa di risposta.,Tecnico,media,file corrotto non riesco a collegare dispositivi bluetooth resto in attesa di risposta
244,Attestato di servizio,Vorrei richiedere il congedo parentale Quando possibile.,Amministrazione,bassa,attestato di servizio vorrei richiedere il congedo parentale quando possibile
245,Email non arrivano,Il server aziendale non è raggiungibile Non è prioritario.,Tecnico,bassa,email non arrivano il server aziendale non è raggiungibile non è prioritario
246,Annullamento ordine,Richiedo la sostituzione dell'articolo difettoso Grazie per l'assistenza.,Commerciale,media,annullamento ordine richiedo la sostituzione dell'articolo difettoso grazie per l'assistenza
247,Contratto fornitura,Vorrei ricevere un preventivo per i vostri servizi Ho bisogno di aiuto immediato.,Commerciale,alta,contratto fornitura vorrei ricevere un preventivo per i vostri servizi ho bisogno di aiuto immediato
248,Lettera referenze,Ho bisogno di modificare le detrazioni fiscali Senza fretta.,Amministrazione,bassa,lettera referenze ho bisogno di modificare le detrazioni fiscali senza fretta
249,Malattia,Vorrei attivare lo smart working Cordiali saluti.,Amministrazione,media,malattia vorrei attivare lo smart working cordiali saluti
250,Assistenza post-vendita,Devo modificare la quantità dell'ordine effettuato Solo per curiosità.,Commerciale,bassa,assistenza post-vendita devo modificare la quantità dell'ordine effettuato solo per curiosità
251,Disco pieno,L'applicazione si chiude inaspettatamente Attendo riscontro.,Tecnico,media,disco pieno l'applicazione si chiude inaspettatamente attendo riscontro
252,Reso merce,Siamo interessati a una partnership commerciale Solo per curiosità.,Commerciale,bassa,reso merce siamo interessati a una partnership commerciale solo per curiosità
253,USB non riconosciuta,Impossibile navigare su internet Solo per curiosità.,Tecnico,bassa,usb non riconosciuta impossibile navigare su internet solo per curiosità
254,Ordine in ritardo,Vorrei effettuare il reso della merce acquistata Solo per curiosità.,Commerciale,bassa,ordine in ritardo vorrei effettuare il reso della merce acquistata solo per curiosità
255,Software non funziona,"La webcam non viene riconosciuta dal sistema Sono fermo, non posso procedere.",Tecnico,alta,software non funziona la webcam non viene riconosciuta dal sistema sono fermo non posso procedere
256,Garanzia prodotto,Il prodotto ricevuto presenta dei difetti Non è prioritario.,Commerciale,bassa,garanzia prodotto il prodotto ricevuto presenta dei difetti non è prioritario
257,Reso merce,Vorrei disdire il servizio attivo Non è prioritario.,Commerciale,bassa,reso merce vorrei disdire il servizio attivo non è prioritario
258,Sollecito pagamento,"Invio sollecito per il pagamento della fattura Non è urgente, quando avete tempo.",Commerciale,bassa,sollecito pagamento invio sollecito per il pagamento della fattura non è urgente quando avete tempo
259,Informazioni prodotto,"Vorrei disdire il servizio attivo Situazione critica, sistema bloccato.",Commerciale,alta,informazioni prodotto vorrei disdire il servizio attivo situazione critica sistema bloccato
260,Computer lento,L'aggiornamento del sistema operativo è fallito Resto in attesa di risposta.,Tecnico,media,computer lento l'aggiornamento del sistema operativo è fallito resto in attesa di risposta
261,Disdetta servizio,Vorrei verificare il credito residuo Fatemi sapere.,Commerciale,media,disdetta servizio vorrei verificare il credito residuo fatemi sapere
262,Rinnovo contratto,Richiedo informazioni sul congedo di maternità Cordiali saluti.,Amministrazione,media,rinnovo contratto richiedo informazioni sul congedo di maternità cordiali saluti
263,Promozione attiva,Vorrei ricevere un preventivo per i vostri servizi Grazie per l'assistenza.,Commerciale,media,promozione attiva vorrei ricevere un preventivo per i vostri servizi grazie per l'assistenza
264,Connessione internet assente,"Il disco C: è quasi pieno Emergenza, serve intervento immediato.",Tecnico,alta,connessione internet assente il disco c è quasi pieno emergenza serve intervento immediato
265,Detrazioni fiscali,Devo aggiornare la richiesta assegni familiari Solo per curiosità.,Amministrazione,bassa,detrazioni fiscali devo aggiornare la richiesta assegni familiari solo per curiosità
266,Sollecito pagamento,"Vorrei effettuare il reso della merce acquistata Sono fermo, non posso procedere.",Commerciale,alta,sollecito pagamento vorrei effettuare il reso della merce acquistata sono fermo non posso procedere
267,Nota spese,Richiedo un anticipo sullo stipendio Ho bisogno di aiuto immediato.,Amministrazione,alta,nota spese richiedo un anticipo sullo stipendio ho bisogno di aiuto immediato
268,VPN non funziona,Il computer impiega troppo tempo ad avviarsi È solo una domanda informativa.,Tecnico,bassa,vpn non funziona il computer impiega troppo tempo ad avviarsi è solo una domanda informativa
269,Feedback servizio,Sono un nuovo cliente e vorrei registrarmi Solo per curiosità.,Commerciale,bassa,feedback servizio sono un nuovo cliente e vorrei registrarmi solo per curiosità
270,Detrazioni fiscali,Vorrei informazioni sulla liquidazione del TFR Problema grave che blocca tutto.,Amministrazione,alta,detrazioni fiscali vorrei informazioni sulla liquidazione del tfr problema grave che blocca tutto
271,Contratto da firmare,Devo organizzare una trasferta di lavoro A vostra comodità.,Amministrazione,bassa,contratto da firmare devo organizzare una trasferta di lavoro a vostra comodità
272,Variazione orario,Richiedo un permesso per visita medica Non è prioritario.,Amministrazione,bassa,variazione orario richiedo un permesso per visita medica non è prioritario
273,Informazioni prodotto,Siamo interessati a una partnership commerciale Quando possibile.,Commerciale,bassa,informazioni prodotto siamo interessati a una partnership commerciale quando possibile
274,Reso merce,"Ho bisogno di informazioni su un prodotto specifico Quando possibile, grazie.",Commerciale,media,reso merce ho bisogno di informazioni su un prodotto specifico quando possibile grazie
275,Rinnovo contratto,Il cedolino presenta delle anomalie Quando possibile.,Amministrazione,bassa,rinnovo contratto il cedolino presenta delle anomalie quando possibile
276,Informazioni prodotto,La fattura ricevuta contiene degli errori Solo per curiosità.,Commerciale,bassa,informazioni prodotto la fattura ricevuta contiene degli errori solo per curiosità
277,Promozione attiva,Invio sollecito per il pagamento della fattura È bloccante per il mio lavoro.,Commerciale,alta,promozione attiva invio sollecito per il pagamento della fattura è bloccante per il mio lavoro
278,Licenza scaduta,La chiavetta USB non viene riconosciuta Attendo riscontro.,Tecnico,media,licenza scaduta la chiavetta usb non viene riconosciuta attendo riscontro
279,Variazione orario,"Ho bisogno di una lettera di referenze Situazione critica, sistema bloccato.",Amministrazione,alta,variazione orario ho bisogno di una lettera di referenze situazione critica sistema bloccato
280,Reclamo prodotto,Ho bisogno di assistenza post-vendita Solo per avere informazioni.,Commerciale,bassa,reclamo prodotto ho bisogno di assistenza post-vendita solo per avere informazioni
281,Modifica anagrafica,Invio la nota spese del mese Quando possibile.,Amministrazione,bassa,modifica anagrafica invio la nota spese del mese quando possibile
282,Nuovo cliente,"Vorrei effettuare il reso della merce acquistata Sono fermo, non posso procedere.",Commerciale,alta,nuovo cliente vorrei effettuare il reso della merce acquistata sono fermo non posso procedere
283,Garanzia prodotto,Vorrei discutere un contratto di fornitura Non è prioritario.,Commerciale,bassa,garanzia prodotto vorrei discutere un contratto di fornitura non è prioritario
284,Backup fallito,Devo configurare la mia casella email Problema grave che blocca tutto.,Tecnico,alta,backup fallito devo configurare la mia casella email problema grave che blocca tutto
285,Certificato lavoro,Richiedo assistenza per il modello 730 Problema grave che blocca tutto.,Amministrazione,alta,certificato lavoro richiedo assistenza per il modello 730 problema grave che blocca tutto
286,Contratto fornitura,Vorrei ricevere un preventivo per i vostri servizi Solo per avere informazioni.,Commerciale,bassa,contratto fornitura vorrei ricevere un preventivo per i vostri servizi solo per avere informazioni
287,Tracciamento ordine,Siamo interessati a una partnership commerciale È solo una domanda informativa.,Commerciale,bassa,tracciamento ordine siamo interessati a una partnership commerciale è solo una domanda informativa
288,Software non funziona,Il sistema è molto lento per mancanza di RAM Fatemi sapere.,Tecnico,media,software non funziona il sistema è molto lento per mancanza di ram fatemi sapere
289,Backup fallito,La stampante non risponde ai comandi di stampa È solo una domanda informativa.,Tecnico,bassa,backup fallito la stampante non risponde ai comandi di stampa è solo una domanda informativa
290,Offerta speciale,Richiedo il listino prezzi aggiornato Solo per curiosità.,Commerciale,bassa,offerta speciale richiedo il listino prezzi aggiornato solo per curiosità
291,Aggiornamento fallito,Alcuni tasti della tastiera non funzionano Solo per avere informazioni.,Tecnico,bassa,aggiornamento fallito alcuni tasti della tastiera non funzionano solo per avere informazioni
292,Certificato lavoro,Richiedo informazioni sul congedo di maternità Solo per avere informazioni.,Amministrazione,bassa,certificato lavoro richiedo informazioni sul congedo di maternità solo per avere informazioni
293,Reclamo prodotto,La fattura ricevuta contiene degli errori Solo per avere informazioni.,Commerciale,bassa,reclamo prodotto la fattura ricevuta contiene degli errori solo per avere informazioni
294,Rinnovo abbonamento,Richiedo il listino prezzi aggiornato Senza fretta.,Commerciale,bassa,rinnovo abbonamento richiedo il listino prezzi aggiornato senza fretta
295,Busta paga errata,Il mio contratto è in scadenza Cordiali saluti.,Amministrazione,media,busta paga errata il mio contratto è in scadenza cordiali saluti
296,Contratto da firmare,Devo richiedere il rimborso delle spese di viaggio Solo per avere informazioni.,Amministrazione,bassa,contratto da firmare devo richiedere il rimborso delle spese di viaggio solo per avere informazioni
297,Disco pieno,"La chiavetta USB non viene riconosciuta Sono fermo, non posso procedere.",Tecnico,alta,disco pieno la chiavetta usb non viene riconosciuta sono fermo non posso procedere
298,Trasferta,"Vorrei richiedere le ferie per il mese prossimo Urgentissimo, il cliente attende.",Amministrazione,alta,trasferta vorrei richiedere le ferie per il mese prossimo urgentissimo il cliente attende
299,Nota spese,Devo aggiornare il mio indirizzo di residenza Cordiali saluti.,Amministrazione,media,nota spese devo aggiornare il mio indirizzo di residenza cordiali saluti
300,Trasferta,Ho bisogno di un attestato di servizio A vostra comodità.,Amministrazione,bassa,trasferta ho bisogno di un attestato di servizio a vostra comodità
301,Modifica ordine,Ho bisogno di una spedizione urgente Solo per curiosità.,Commerciale,bassa,modifica ordine ho bisogno di una spedizione urgente solo per curiosità
302,Reso merce,È possibile ricevere dei campioni gratuiti?,Commerciale,media,reso merce è possibile ricevere dei campioni gratuiti
303,Errore contributi,Devo comunicare un periodo di malattia Grazie in anticipo.,Amministrazione,media,errore contributi devo comunicare un periodo di malattia grazie in anticipo
304,Ordine in ritardo,"Sono un nuovo cliente e vorrei registrarmi Quando possibile, grazie.",Commerciale,media,ordine in ritardo sono un nuovo cliente e vorrei registrarmi quando possibile grazie
305,Sollecito pagamento,Richiedo il listino prezzi aggiornato Grazie in anticipo.,Commerciale,media,sollecito pagamento richiedo il listino prezzi aggiornato grazie in anticipo
306,Email non arrivano,La chiavetta USB non viene riconosciuta È bloccante per il mio lavoro.,Tecnico,alta,email non arrivano la chiavetta usb non viene riconosciuta è bloccante per il mio lavoro
307,Disco pieno,Il disco C: è quasi pieno,Tecnico,media,disco pieno il disco c è quasi pieno
308,Disponibilità articolo,Vorrei discutere un contratto di fornitura Grazie per l'assistenza.,Commerciale,media,disponibilità articolo vorrei discutere un contratto di fornitura grazie per l'assistenza
309,Informazioni prodotto,Vorrei tracciare il mio ordine,Commerciale,media,informazioni prodotto vorrei tracciare il mio ordine
310,Mouse non funziona,Il monitor presenta sfarfallii continui Senza fretta.,Tecnico,bassa,mouse non funziona il monitor presenta sfarfallii continui senza fretta
311,Assistenza post-vendita,"Vorrei verificare il credito residuo Non è urgente, quando avete tempo.",Commerciale,bassa,assistenza post-vendita vorrei verificare il credito residuo non è urgente quando avete tempo
312,Cambio IBAN,Ho bisogno di modificare le detrazioni fiscali Fatemi sapere.,Amministrazione,media,cambio iban ho bisogno di modificare le detrazioni fiscali fatemi sapere
313,Software non funziona,Il server aziendale non è raggiungibile Resto in attesa di risposta.,Tecnico,media,software non funziona il server aziendale non è raggiungibile resto in attesa di risposta
314,CUD mancante,Il cedolino presenta delle anomalie Ho bisogno di aiuto immediato.,Amministrazione,alta,cud mancante il cedolino presenta delle anomalie ho bisogno di aiuto immediato
315,Trasferta,"Devo aggiornare il mio indirizzo di residenza Emergenza, serve intervento immediato.",Amministrazione,alta,trasferta devo aggiornare il mio indirizzo di residenza emergenza serve intervento immediato
316,Pagamento effettuato,Richiedo il listino prezzi aggiornato Senza fretta.,Commerciale,bassa,pagamento effettuato richiedo il listino prezzi aggiornato senza fretta
317,Certificato lavoro,Vorrei informazioni sulla liquidazione del TFR È solo una domanda informativa.,Amministrazione,bassa,certificato lavoro vorrei informazioni sulla liquidazione del tfr è solo una domanda informativa
318,Upgrade piano,Vorrei effettuare il reso della merce acquistata Solo per curiosità.,Commerciale,bassa,upgrade piano vorrei effettuare il reso della merce acquistata solo per curiosità
319,Straordinari non pagati,Devo organizzare una trasferta di lavoro È bloccante per il mio lavoro.,Amministrazione,alta,straordinari non pagati devo organizzare una trasferta di lavoro è bloccante per il mio lavoro
320,Richiesta permesso,Vorrei attivare lo smart working È solo una domanda informativa.,Amministrazione,bassa,richiesta permesso vorrei attivare lo smart working è solo una domanda informativa
321,Sostituzione articolo,"È possibile ricevere dei campioni gratuiti? Non è urgente, quando avete tempo.",Commerciale,bassa,sostituzione articolo è possibile ricevere dei campioni gratuiti non è urgente quando avete tempo
322,Offerta speciale,L'articolo che cerco è disponibile in magazzino? Problema grave che blocca tutto.,Commerciale,alta,offerta speciale l'articolo che cerco è disponibile in magazzino problema grave che blocca tutto
323,Attestato di servizio,Devo organizzare una trasferta di lavoro Resto in attesa di risposta.,Amministrazione,media,attestato di servizio devo organizzare una trasferta di lavoro resto in attesa di risposta
324,Prestito aziendale,"Non ho ricevuto la CUD di quest'anno Emergenza, serve intervento immediato.",Amministrazione,alta,prestito aziendale non ho ricevuto la cud di quest'anno emergenza serve intervento immediato
325,Password dimenticata,Il sistema mostra un errore critico all'avvio Solo per avere informazioni.,Tecnico,bassa,password dimenticata il sistema mostra un errore critico all'avvio solo per avere informazioni
326,Bluetooth non funziona,Il sistema mostra un errore critico all'avvio Resto in attesa di risposta.,Tecnico,media,bluetooth non funziona il sistema mostra un errore critico all'avvio resto in attesa di risposta
327,Annullamento ordine,"Vorrei verificare il credito residuo Emergenza, serve intervento immediato.",Commerciale,alta,annullamento ordine vorrei verificare il credito residuo emergenza serve intervento immediato
328,Pagamento effettuato,"Devo rinnovare il mio abbonamento Non è urgente, quando avete tempo.",Commerciale,bassa,pagamento effettuato devo rinnovare il mio abbonamento non è urgente quando avete tempo
329,Reclamo prodotto,Vorrei verificare il credito residuo Resto in attesa di risposta.,Commerciale,media,reclamo prodotto vorrei verificare il credito residuo resto in attesa di risposta
330,Attestato di servizio,"Gli straordinari del mese scorso non sono stati pagati Emergenza, serve intervento immediato.",Amministrazione,alta,attestato di servizio gli straordinari del mese scorso non sono stati pagati emergenza serve intervento immediato
331,Attestato di servizio,Devo comunicare un periodo di malattia Resto in attesa di risposta.,Amministrazione,media,attestato di servizio devo comunicare un periodo di malattia resto in attesa di risposta
332,Trasferta,Richiedo una variazione dell'orario di lavoro Attendo riscontro.,Amministrazione,media,trasferta richiedo una variazione dell'orario di lavoro attendo riscontro
333,Sollecito pagamento,Confermo di aver effettuato il pagamento Senza fretta.,Commerciale,bassa,sollecito pagamento confermo di aver effettuato il pagamento senza fretta
334,Errore contributi,Ho ricevuto il contratto da firmare A vostra comodità.,Amministrazione,bassa,errore contributi ho ricevuto il contratto da firmare a vostra comodità
335,Lettera referenze,"Ho bisogno di una lettera di referenze Emergenza, serve intervento immediato.",Amministrazione,alta,lettera referenze ho bisogno di una lettera di referenze emergenza serve intervento immediato
336,Reclamo prodotto,Richiedo la sostituzione dell'articolo difettoso Cordiali saluti.,Commerciale,media,reclamo prodotto richiedo la sostituzione dell'articolo difettoso cordiali saluti
337,Congedo parentale,"Devo aggiornare la richiesta assegni familiari È urgente, non riesco a lavorare.",Amministrazione,alta,congedo parentale devo aggiornare la richiesta assegni familiari è urgente non riesco a lavorare
338,Server non risponde,La connessione VPN si disconnette continuamente Attendo riscontro.,Tecnico,media,server non risponde la connessione vpn si disconnette continuamente attendo riscontro
339,Server non risponde,"Il file Excel non si apre correttamente Non è urgente, quando avete tempo.",Tecnico,bassa,server non risponde il file excel non si apre correttamente non è urgente quando avete tempo
340,Listino prezzi,"Richiedo il listino prezzi aggiornato Urgentissimo, il cliente attende.",Commerciale,alta,listino prezzi richiedo il listino prezzi aggiornato urgentissimo il cliente attende
341,Rimborso spese,Ho bisogno di un certificato di lavoro per la banca È bloccante per il mio lavoro.,Amministrazione,alta,rimborso spese ho bisogno di un certificato di lavoro per la banca è bloccante per il mio lavoro
342,Virus rilevato,Il sistema mostra un errore critico all'avvio,Tecnico,media,virus rilevato il sistema mostra un errore critico all'avvio
343,Configurazione email,Non riesco a collegare dispositivi Bluetooth Resto in attesa di risposta.,Tecnico,media,configurazione email non riesco a collegare dispositivi bluetooth resto in attesa di risposta
344,VPN non funziona,"Impossibile navigare su internet Emergenza, serve intervento immediato.",Tecnico,alta,vpn non funziona impossibile navigare su internet emergenza serve intervento immediato
345,Credito cliente,L'articolo che cerco è disponibile in magazzino? Problema grave che blocca tutto.,Commerciale,alta,credito cliente l'articolo che cerco è disponibile in magazzino problema grave che blocca tutto
346,RAM insufficiente,Non esce audio dalle casse del computer Fatemi sapere.,Tecnico,media,ram insufficiente non esce audio dalle casse del computer fatemi sapere
347,Richiesta preventivo,Ho bisogno di una spedizione urgente Cordiali saluti.,Commerciale,media,richiesta preventivo ho bisogno di una spedizione urgente cordiali saluti
348,Variazione orario,Gli straordinari del mese scorso non sono stati pagati Solo per avere informazioni.,Amministrazione,bassa,variazione orario gli straordinari del mese scorso non sono stati pagati solo per avere informazioni
349,Listino prezzi,Vorrei informazioni sulla promozione attiva Solo per curiosità.,Commerciale,bassa,listino prezzi vorrei informazioni sulla promozione attiva solo per curiosità
350,Dimissioni,"I contributi versati risultano errati Situazione critica, sistema bloccato.",Amministrazione,alta,dimissioni i contributi versati risultano errati situazione critica sistema bloccato
351,Aggiornamento fallito,Lo schermo rimane nero dopo l'accensione Problema grave che blocca tutto.,Tecnico,alta,aggiornamento fallito lo schermo rimane nero dopo l'accensione problema grave che blocca tutto
352,Credito cliente,Vorrei ricevere il catalogo prodotti completo Problema grave che blocca tutto.,Commerciale,alta,credito cliente vorrei ricevere il catalogo prodotti completo problema grave che blocca tutto
353,Software da installare,"L'applicazione si chiude inaspettatamente Quando possibile, grazie.",Tecnico,media,software da installare l'applicazione si chiude inaspettatamente quando possibile grazie
354,Configurazione email,"L'aggiornamento del sistema operativo è fallito È urgente, non riesco a lavorare.",Tecnico,alta,configurazione email l'aggiornamento del sistema operativo è fallito è urgente non riesco a lavorare
355,Problema cedolino,Il mio contratto è in scadenza Non è prioritario.,Amministrazione,bassa,problema cedolino il mio contratto è in scadenza non è prioritario
356,Tracciamento ordine,"Vorrei ricevere il catalogo prodotti completo Emergenza, serve intervento immediato.",Commerciale,alta,tracciamento ordine vorrei ricevere il catalogo prodotti completo emergenza serve intervento immediato
357,Prestito aziendale,Vorrei informazioni sulla liquidazione del TFR Solo per curiosità.,Amministrazione,bassa,prestito aziendale vorrei informazioni sulla liquidazione del tfr solo per curiosità
358,Errore contributi,I contributi versati risultano errati Cordiali saluti.,Amministrazione,media,errore contributi i contributi versati risultano errati cordiali saluti
359,Feedback servizio,Vorrei lasciare un feedback sul servizio ricevuto Fatemi sapere.,Commerciale,media,feedback servizio vorrei lasciare un feedback sul servizio ricevuto fatemi sapere
360,Lettera referenze,Devo comunicare il nuovo IBAN per l'accredito stipendio È solo una domanda informativa.,Amministrazione,bassa,lettera referenze devo comunicare il nuovo iban per l'accredito stipendio è solo una domanda informativa
361,Assegni familiari,Ho bisogno di un attestato di servizio Problema grave che blocca tutto.,Amministrazione,alta,assegni familiari ho bisogno di un attestato di servizio problema grave che blocca tutto
362,Garanzia prodotto,Siamo interessati a una partnership commerciale Problema grave che blocca tutto.,Commerciale,alta,garanzia prodotto siamo interessati a una partnership commerciale problema grave che blocca tutto
363,Rinnovo abbonamento,Vorrei effettuare il reso della merce acquistata Solo per avere informazioni.,Commerciale,bassa,rinnovo abbonamento vorrei effettuare il reso della merce acquistata solo per avere informazioni
364,CUD mancante,I contributi versati risultano errati Senza fretta.,Amministrazione,bassa,cud mancante i contributi versati risultano errati senza fretta
365,Problema di rete,Il server aziendale non è raggiungibile Quando possibile.,Tecnico,bassa,problema di rete il server aziendale non è raggiungibile quando possibile
366,Tracciamento ordine,"Vorrei tracciare il mio ordine Non è urgente, quando avete tempo.",Commerciale,bassa,tracciamento ordine vorrei tracciare il mio ordine non è urgente quando avete tempo
367,CUD mancante,Devo aggiornare il mio indirizzo di residenza Non è prioritario.,Amministrazione,bassa,cud mancante devo aggiornare il mio indirizzo di residenza non è prioritario
368,File corrotto,La webcam non viene riconosciuta dal sistema Resto in attesa di risposta.,Tecnico,media,file corrotto la webcam non viene riconosciuta dal sistema resto in attesa di risposta
369,Software non funziona,Alcuni tasti della tastiera non funzionano È solo una domanda informativa.,Tecnico,bassa,software non funziona alcuni tasti della tastiera non funzionano è solo una domanda informativa
370,Busta paga errata,Vorrei attivare lo smart working Solo per curiosità.,Amministrazione,bassa,busta paga errata vorrei attivare lo smart working solo per curiosità
371,Disco pieno,Il computer impiega troppo tempo ad avviarsi Resto in attesa di risposta.,Tecnico,media,disco pieno il computer impiega troppo tempo ad avviarsi resto in attesa di risposta
372,Credito cliente,Sono un nuovo cliente e vorrei registrarmi È solo una domanda informativa.,Commerciale,bassa,credito cliente sono un nuovo cliente e vorrei registrarmi è solo una domanda informativa
373,Driver mancante,Alcuni tasti della tastiera non funzionano È solo una domanda informativa.,Tecnico,bassa,driver mancante alcuni tasti della tastiera non funzionano è solo una domanda informativa
374,Configurazione email,Il PC si spegne improvvisamente senza motivo È bloccante per il mio lavoro.,Tecnico,alta,configurazione email il pc si spegne improvvisamente senza motivo è bloccante per il mio lavoro
375,Disponibilità articolo,Confermo di aver effettuato il pagamento Ho bisogno di aiuto immediato.,Commerciale,alta,disponibilità articolo confermo di aver effettuato il pagamento ho bisogno di aiuto immediato
376,Problema cedolino,Gli straordinari del mese scorso non sono stati pagati Ho bisogno di aiuto immediato.,Amministrazione,alta,problema cedolino gli straordinari del mese scorso non sono stati pagati ho bisogno di aiuto immediato
377,Maternità,Vorrei attivare lo smart working Quando possibile.,Amministrazione,bassa,maternità vorrei attivare lo smart working quando possibile
378,Informazioni prodotto,Richiedo il listino prezzi aggiornato Attendo riscontro.,Commerciale,media,informazioni prodotto richiedo il listino prezzi aggiornato attendo riscontro
379,Trasferta,Non ho ricevuto la CUD di quest'anno Resto in attesa di risposta.,Amministrazione,media,trasferta non ho ricevuto la cud di quest'anno resto in attesa di risposta
380,Busta paga errata,Ho ricevuto il contratto da firmare Cordiali saluti.,Amministrazione,media,busta paga errata ho ricevuto il contratto da firmare cordiali saluti
381,Busta paga errata,Non ho ricevuto la CUD di quest'anno Grazie per l'assistenza.,Amministrazione,media,busta paga errata non ho ricevuto la cud di quest'anno grazie per l'assistenza
382,Lettera referenze,Richiedo una variazione dell'orario di lavoro A vostra comodità.,Amministrazione,bassa,lettera referenze richiedo una variazione dell'orario di lavoro a vostra comodità
383,Cambio IBAN,Gli straordinari del mese scorso non sono stati pagati,Amministrazione,media,cambio iban gli straordinari del mese scorso non sono stati pagati
384,PC si spegne da solo,Il monitor presenta sfarfallii continui È bloccante per il mio lavoro.,Tecnico,alta,pc si spegne da solo il monitor presenta sfarfallii continui è bloccante per il mio lavoro
385,Rinnovo contratto,Ho bisogno di un attestato di servizio A vostra comodità.,Amministrazione,bassa,rinnovo contratto ho bisogno di un attestato di servizio a vostra comodità
386,Smart working,Ho notato un errore nell'importo della busta paga Cordiali saluti.,Amministrazione,media,smart working ho notato un errore nell'importo della busta paga cordiali saluti
387,Stampante non stampa,"Il PC si spegne improvvisamente senza motivo È urgente, non riesco a lavorare.",Tecnico,alta,stampante non stampa il pc si spegne improvvisamente senza motivo è urgente non riesco a lavorare
388,Schermo nero,La stampante non risponde ai comandi di stampa Senza fretta.,Tecnico,bassa,schermo nero la stampante non risponde ai comandi di stampa senza fretta
389,Licenza scaduta,"La connessione VPN si disconnette continuamente Urgentissimo, il cliente attende.",Tecnico,alta,licenza scaduta la connessione vpn si disconnette continuamente urgentissimo il cliente attende
390,Rinnovo abbonamento,Siamo interessati a una partnership commerciale Ho bisogno di aiuto immediato.,Commerciale,alta,rinnovo abbonamento siamo interessati a una partnership commerciale ho bisogno di aiuto immediato
391,Assegni familiari,Devo organizzare una trasferta di lavoro Quando possibile.,Amministrazione,bassa,assegni familiari devo organizzare una trasferta di lavoro quando possibile
392,File corrotto,"L'antivirus ha rilevato una minaccia Emergenza, serve intervento immediato.",Tecnico,alta,file corrotto l'antivirus ha rilevato una minaccia emergenza serve intervento immediato
393,Contratto da firmare,Devo aggiornare la richiesta assegni familiari,Amministrazione,media,contratto da firmare devo aggiornare la richiesta assegni familiari
394,Busta paga errata,Devo organizzare una trasferta di lavoro,Amministrazione,media,busta paga errata devo organizzare una trasferta di lavoro
395,Richiesta campioni,Ho bisogno di assistenza post-vendita Solo per avere informazioni.,Commerciale,bassa,richiesta campioni ho bisogno di assistenza post-vendita solo per avere informazioni
396,Nota spese,Ho notato un errore nell'importo della busta paga Grazie in anticipo.,Amministrazione,media,nota spese ho notato un errore nell'importo della busta paga grazie in anticipo
397,Tracciamento ordine,"Devo rinnovare il mio abbonamento È urgente, non riesco a lavorare.",Commerciale,alta,tracciamento ordine devo rinnovare il mio abbonamento è urgente non riesco a lavorare
398,Dimissioni,I contributi versati risultano errati Cordiali saluti.,Amministrazione,media,dimissioni i contributi versati risultano errati cordiali saluti
399,Disdetta servizio,Devo rinnovare il mio abbonamento È solo una domanda informativa.,Commerciale,bassa,disdetta servizio devo rinnovare il mio abbonamento è solo una domanda informativa
400,Configurazione email,L'aggiornamento del sistema operativo è fallito È bloccante per il mio lavoro.,Tecnico,alta,configurazione email l'aggiornamento del sistema operativo è fallito è bloccante per il mio lavoro
401,Assistenza post-vendita,Vorrei lasciare un feedback sul servizio ricevuto Cordiali saluti.,Commerciale,media,assistenza post-vendita vorrei lasciare un feedback sul servizio ricevuto cordiali saluti
402,Stampante non stampa,Il computer impiega troppo tempo ad avviarsi Solo per curiosità.,Tecnico,bassa,stampante non stampa il computer impiega troppo tempo ad avviarsi solo per curiosità
403,Assegni familiari,"Ho bisogno di una lettera di referenze Non è urgente, quando avete tempo.",Amministrazione,bassa,assegni familiari ho bisogno di una lettera di referenze non è urgente quando avete tempo
404,Certificato lavoro,Vorrei informazioni sulla liquidazione del TFR Grazie per l'assistenza.,Amministrazione,media,certificato lavoro vorrei informazioni sulla liquidazione del tfr grazie per l'assistenza
405,Congedo parentale,Vorrei richiedere il congedo parentale Grazie in anticipo.,Amministrazione,media,congedo parentale vorrei richiedere il congedo parentale grazie in anticipo
406,Garanzia prodotto,Vorrei ricevere un preventivo per i vostri servizi,Commerciale,media,garanzia prodotto vorrei ricevere un preventivo per i vostri servizi
407,Cambio mansione,Ho ricevuto il contratto da firmare Resto in attesa di risposta.,Amministrazione,media,cambio mansione ho ricevuto il contratto da firmare resto in attesa di risposta
408,Software da installare,"Il backup automatico non viene eseguito Non è urgente, quando avete tempo.",Tecnico,bassa,software da installare il backup automatico non viene eseguito non è urgente quando avete tempo
409,Sollecito pagamento,Vorrei verificare il credito residuo Resto in attesa di risposta.,Commerciale,media,sollecito pagamento vorrei verificare il credito residuo resto in attesa di risposta
