id,title,body,category,priority,full_text
180,rimborso,Salve cambio mansione ciao niente di grave,Amministrazione,bassa,rimborso salve cambio mansione ciao niente di grave
181,richiesta,"Gentilissimi, mi serve la cud Distinti saluti. non c'è fretta",Amministrazione,bassa,richiesta gentilissimi mi serve la cud distinti saluti non c'è fretta
182,RICHIESTA,"Gentilissimi, il programma si blocca sempre Ringraziando anticipatamente, porgo cordiali saluti. il cliente aspetta",Tecnico,alta,richiesta gentilissimi il programma si blocca sempre ringraziando anticipatamente porgo cordiali saluti il cliente aspetta
183,computer,schermo sfarfalla era solo un'idea,Tecnico,bassa,computer schermo sfarfalla era solo un'idea
184,Re: Re:,richiesta maternità mah è un'emergenza,Amministrazione,alta,re re richiesta maternità mah è un'emergenza
185,richiesta,ANCORA?? CONGEDO PARENTALE VOGLIO PARLARE CON UN RESPONSABILE! TUTTP BLOCCATO,Amministrazione,alta,richiesta ancora congedo parentale voglio parlare con un responsabile tuttp bloccato
186,stampa,MA È POSSIBILE CHE HO PERSO TUTTI I DOCUMENTI È LA TERZA VOLTA CHE LO SEGNALO!!,Tecnico,bassa,stampa ma è possibile che ho perso tutti i documenti è la terza volta che lo segnalo
187,730,mi serve certificato lavoro è un'emergenza,Amministrazione,alta,730 mi serve certificato lavoro è un'emergenza
188,ufficio personale,devo cambiare l'iban perché come sapete è già da un po' che ho questo problema e non so più cosa fare il cliente aspetta,Amministrazione,alta,ufficio personale devo cambiare l'iban perché come sapete è già da un po' che ho questo problema e non so più cosa fare il cliente aspetta
189,computer,Gentilissimi sn in smart working ma il vpn non va e devo fare le note spese e un ordine Grazie per la collaborazione. devo partire,Tecnico,alta,computer gentilissimi sn in smart working ma il vpn non va e devo fare le note spese e un ordine grazie per la collaborazione devo partire
190,disponibilità,"ciao, il mio ordine è in ritardo ciao una cosina veloce: non riesco più ad accedere a nulla???",Commerciale,media,disponibilità ciao il mio ordine è in ritardo ciao una cosina veloce non riesco più ad accedere a nulla
191,hr,aiuto con il  praticamente  730 o qualcosa del genere bloccato completamente,Amministrazione,alta,hr aiuto con il praticamente 730 o qualcosa del genere bloccato completamente
192,urgente,vpn non si connette e volevo ank dire ch ho già provato di tutto ma non funziona niente,Tecnico,media,urgente vpn non si connette e volevo ank dire ch ho già provato di tutto ma non funziona niente
193,cedolino,voglio dare le dimissioni perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Amministrazione,bassa,cedolino voglio dare le dimissioni perché come sapete è già da un po' che ho questo problema e non so più cosa fare
194,problema pc,il mouse non risponde e volevo anche dire che ho già provato di tutto ma non funziona niente non so se si può,Tecnico,bassa,problema pc il mouse non risponde e volevo anche dire che ho già provato di tutto ma non funziona niente non so se si può
195,Fwd:,Non è accettabile che assegni familiari Inaccettabile!!! DEVO RISOLVERE OGGI,Amministrazione,alta,fwd non è accettabile che assegni familiari inaccettabile devo risolvere oggi
196,smart working,devo scaricare la cud ma  insomma  il sito non funziona ...non ricordo bene,Amministrazione,alta,smart working devo scaricare la cud ma insomma il sito non funziona non ricordo bene
197,AIUTO,Basta! word non salva i file Voglio parlare con un responsabile!,Tecnico,bassa,aiuto basta word non salva i file voglio parlare con un responsabile
198,disponibilità,sollecito pagamento thx,Commerciale,media,disponibilità sollecito pagamento thx
199,reclamo,proposta di collaborazione ...non ricordo bene deadline domani,Commerciale,alta,reclamo proposta di collaborazione non ricordo bene deadline domani
200,preventivo,non riseco a fare l'ordine online il sito da insomma errore o qualcosa del genere aspetto risposta,Commerciale,media,preventivo non riseco a fare l'ordine online il sito da insomma errore o qualcosa del genere aspetto risposta
201,bloccato,buongiorno sono in smart working ma il vpn non va e devo fare le note spese e un ordine thx bloccato completamente,Tecnico,alta,bloccato buongiorno sono in smart working ma il vpn non va e devo fare le note spese e un ordine thx bloccato completamente
202,aiuto,i contributi come dire sono sbagliati ...non ricordo bene i clienti chiamano,Amministrazione,alta,aiuto i contributi come dire sono sbagliati non ricordo bene i clienti chiamano
203,permesso,cambio mansione ok,Amministrazione,bassa,permesso cambio mansione ok
204,assistenza,il cedolino ha un errore comunque sia vi chiedo di intervenire il prima possibile se potete con calma,Amministrazione,bassa,assistenza il cedolino ha un errore comunque sia vi chiedo di intervenire il prima possibile se potete con calma
205,stampa,ho preso diciamo che un virus ...non ricordo bene,Tecnico,bassa,stampa ho preso diciamo che un virus non ricordo bene
206,segnalazione,LA FATTURA DEL FORNITORE NON QUADRA CON  INSOMMA  LE MIE NOTE SPESE ...NON RICORDO BENE GRAZIE,Amministrazione,media,segnalazione la fattura del fornitore non quadra con insomma le mie note spese non ricordo bene grazie
207,Fwd:,Basta! il computer si spegne da solo Voglio parlare con un responsabile!,Tecnico,media,fwd basta il computer si spegne da solo voglio parlare con un responsabile
208,ordine,"Buongiorno, sollecito pagamento Ringraziando anticipatamente, porgo cordiali saluti. è un'emergenza",Commerciale,alta,ordine buongiorno sollecito pagamento ringraziando anticipatamente porgo cordiali saluti è un'emergenza
209,cedolino,contratto scade,Amministrazione,media,cedolino contratto scade
210,malattia,mi serve un certificato cm dire di lavoro may,Amministrazione,media,malattia mi serve un certificato cm dire di lavoro may
211,rete,la password non funziona  più o meno  più boh,Tecnico,alta,rete la password non funziona più o meno più boh
212,cliente,feedback sul servizio se avete tempo,Commerciale,bassa,cliente feedback sul servizio se avete tempo
213,hr,vorrei chiedere  diciamo che  le ferie boh,Amministrazione,media,hr vorrei chiedere diciamo che le ferie boh
214,contratto,informazioni prestito aziendale mah,Amministrazione,bassa,contratto informazioni prestito aziendale mah
215,LEGGERE,detrazioni fiscali perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Amministrazione,media,leggere detrazioni fiscali perché come sapete è già da un po' che ho questo problema e non so più cosa fare
216,permesso,Buongiorno devo fare una trasferta ok?,Amministrazione,media,permesso buongiorno devo fare una trasferta ok
217,VPN,Basta! ho preso un virus È la terza volta che lo segnalo!! stiamo perdendo tempo,Tecnico,alta,vpn basta ho preso un virus è la terza volta che lo segnalo stiamo perdendo tempo
218,INFO,internet non funzina,Tecnico,media,info internet non funzina
219,bloccato,Vi scrrivo per la stampante non stampa Distinti saluti. i clienti chiamano,Tecnico,alta,bloccato vi scrrivo per la stampante non stampa distinti saluti i clienti chiamano
220,richiesta,anticipo stipendio grz grazie,Amministrazione,media,richiesta anticipo stipendio grz grazie
221,documento,richiesta maternità inoltre vi faccio presente che questa situazione va avnti da settimane,Amministrazione,media,documento richiesta maternità inoltre vi faccio presente che questa situazione va avnti da settimane
222,documento,MA È POSSIBILE CHE VORREI CHIEDERE LE FERIE INACCETTABILE!!!,Amministrazione,bassa,documento ma è possibile che vorrei chiedere le ferie inaccettabile
223,schermo nero,il programma si blocca praticamente sempre ...non ricordo bene devo partire,Tecnico,alta,schermo nero il programma si blocca praticamente sempre non ricordo bene devo partire
224,pc rotto,schermo nero quando più o meno accendo (o forse era un'altra cosa?),Tecnico,media,pc rotto schermo nero quando più o meno accendo o forse era un'altra cosa
225,CONTRATTO,Per l'ennesima volta: aiuto con il 730 Pretendo una risposta OGGI!,Amministrazione,media,contratto per l'ennesima volta aiuto con il 730 pretendo una risposta oggi
226,straordinari,mi serve la cud grz fatemi sapere,Amministrazione,media,straordinari mi serve la cud grz fatemi sapere
227,urgente,il sistema delle ferie n mi fa inserire la richiesta da errore e aggiungo che un mio collega ha lo stesso identico problema so che è urgente ma non c'è fretta fate con comodo,Amministrazione,media,urgente il sistema delle ferie n mi fa inserire la richiesta da errore e aggiungo che un mio collega ha lo stesso identico problema so che è urgente ma non c'è fretta fate con comodo
228,ticket,devo fare praticamente il rimborso spese (o forse era un'altra cosa?) niente di grave,Amministrazione,bassa,ticket devo fare praticamente il rimborso spese o forse era un'altra cosa niente di grave
229,reso,sollecito pagamento mah,Commerciale,bassa,reso sollecito pagamento mah
230,errore,pc è lentissimo,Tecnico,media,errore pc è lentissimo
231,catalogo,vorrei un preventivo e aggiungo che un mio collega ha lo stesso identico problema quando potete,Commerciale,media,catalogo vorrei un preventivo e aggiungo che un mio collega ha lo stesso identico problema quando potete
232,errore sistema,teams non funziona e aggiungo che un mio collega ha lo stesso identico problema?!,Tecnico,alta,errore sistema teams non funziona e aggiungo che un mio collega ha lo stesso identico problema
233,guasto,la fattura del fornitore non quadra con le mie note spese urgente,Amministrazione,alta,guasto la fattura del fornitore non quadra con le mie note spese urgente
234,SPEDIZIONE,devo fare un  nel senso  reso ...non ricordo bene è urgente,Commerciale,alta,spedizione devo fare un nel senso reso non ricordo bene è urgente
235,errore sistema,il pc non si accende perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Tecnico,media,errore sistema il pc non si accende perché come sapete è già da un po' che ho questo problema e non so più cosa fare
236,TICKET,MA È POSSIBILE CHE LA FATTURA È SBAGLIATA VOGLIO PARLARE CON UN RESPONSABILE! NON POSSO LAVORARE,Commerciale,alta,ticket ma è possibile che la fattura è sbagliata voglio parlare con un responsabile non posso lavorare
237,DOMANDA,LA PASSWORD NON NON SO SE MI SPIEGO FUNZIONA PIÙ BOH,Tecnico,media,domanda la password non non so se mi spiego funziona più boh
238,PC ROTTO,non mi fa entrare praticamente nel sistema mah,Tecnico,media,pc rotto non mi fa entrare praticamente nel sistema mah
239,non funziona,cambio mansione ok?,Amministrazione,bassa,non funziona cambio mansione ok
240,aiuto,Ancora?? vorrei dei campioni Voglio parlare con un responsabile! tutto bloccato,Commerciale,alta,aiuto ancora vorrei dei campioni voglio parlare con un responsabile tutto bloccato
241,non funziona,Ehi il pc non funziona e non riesco a mandare l'ordine né a timbrare le ferie ok? quando potete,Tecnico,media,non funziona ehi il pc non funziona e non riesco a mandare l'ordine né a timbrare le ferie ok quando potete
242,pagamento,spedizione urgente grazie! siamo in ritardo,Commerciale,alta,pagamento spedizione urgente grazie siamo in ritardo
243,PASSWORD,Basta! il gestionale fatture si blocca sempre quando apro le fatture Non è possibile andare avanti così! una cosina veloce: non riesco più ad accedere a nulla,Tecnico,media,password basta il gestionale fatture si blocca sempre quando apro le fatture non è possibile andare avanti così una cosina veloce non riesco più ad accedere a nulla
244,(nessun oggetto),mi serve listino prezzi serve subito,Commerciale,alta,nessun oggetto mi serve listino prezzi serve subito
245,assistenza,BASTA! MI SERVE LA CUD NON È POSSIBILE ANDARE AVANTI COSÌ,Amministrazione,bassa,assistenza basta mi serve la cud non è possibile andare avanti così
246,da risolvere,"Con la presente richiesta maternità In attesa di Vs. risposta, cordialmente. i clienti chiamano",Amministrazione,alta,da risolvere con la presente richiesta maternità in attesa di vs risposta cordialmente i clienti chiamano
247,reso,sono un diciamo che nuovo cliente (o forse era un'altra cosa?) quando potete,Commerciale,media,reso sono un diciamo che nuovo cliente o forse era un'altra cosa quando potete
248,reso,upgrade del piano,Commerciale,media,reso upgrade del piano
249,catalogo,EHI DOV'È IL MIO ORDINE OK? NN POSSO LAVORRE,Commerciale,alta,catalogo ehi dov'è il mio ordine ok nn posso lavorre
250,problema,Basta! il wifi non prende Voglio parlare con un responsabile! quando potete,Tecnico,media,problema basta il wifi non prende voglio parlare con un responsabile quando potete
251,HR,N E ACCETTABILE CHE LA FATTURA DEL FORNITORE NN QUADRA CON LE MIE NOTE SPESE E LA TERZA VOLTA CHE LO SEGNALO!! GRAIZE,Amministrazione,media,hr n e accettabile che la fattura del fornitore nn quadra con le mie note spese e la terza volta che lo segnalo graize
252,NON VA,BASTA! L'AUDIO NON SI SENTE PRETENDO UNA RISPOSTA OGGI! RIUNIONE IMPOTANTE,Tecnico,alta,non va basta l'audio non si sente pretendo una risposta oggi riunione impotante
253,malattia,mi serve certificato lavoro se avete tempo,Amministrazione,bassa,malattia mi serve certificato lavoro se avete tempo
254,FATTURA,PER L'ENNESIMA VOLTA: POSSO AVERE UNO SCONTO INACCETTABILE!!!?!,Commerciale,media,fattura per l'ennesima volta posso avere uno sconto inaccettabile
255,busta paga,assegni familiari (o forse era un'altra cosa?),Amministrazione,media,busta paga assegni familiari o forse era un'altra cosa
256,lento,"Gentilissimi, vpn non si connette In attesa di Vs. risposta, cordialmente. dobbiamo consegnare",Tecnico,alta,lento gentilissimi vpn non si connette in attesa di vs risposta cordialmente dobbiamo consegnare
257,offerta,sollecito pagamento,Commerciale,bassa,offerta sollecito pagamento
258,domanda,DESIDERO SEGNALARE CHE POSSO AVERE UNO SCONTO RESTO IN ATTESA DI UN CORTESE RISCONTRO.,Commerciale,media,domanda desidero segnalare che posso avere uno sconto resto in attesa di un cortese riscontro
259,730,mi serve cud,Amministrazione,media,730 mi serve cud
260,mail,Salve ho preso un virus ciao devo partire,Tecnico,alta,mail salve ho preso un virus ciao devo partire
261,rimborso,devo scaricare la cud ma cioè il sito n funziona mah,Amministrazione,alta,rimborso devo scaricare la cud ma cioè il sito n funziona mah
262,730,detrazioni fiscali,Amministrazione,media,730 detrazioni fiscali
263,richiesta,aiutoo con più o meno il 730 ...non ricordo bene,Amministrazione,alta,richiesta aiutoo con più o meno il 730 non ricordo bene
264,ordine,proposta collaborazione non posso lavorarre,Commerciale,alta,ordine proposta collaborazione non posso lavorarre
265,non va,il backup non  nel senso  parte (o forse era un'altra cosa?) è urgente,Tecnico,alta,non va il backup non nel senso parte o forse era un'altra cosa è urgente
266,reso,il prodotto è in garanzia? perché come sapete è già da un po' che ho questo problema e non so più cosa fare non posso lavorare,Commerciale,alta,reso il prodotto è in garanzia perché come sapete è già da un po' che ho questo problema e non so più cosa fare non posso lavorare
267,PC ROTTO,PER L'ENNESIMA VOLTA: L'AUDIO NN SI SENTE È LA TERZA VOLTA CHE LO SEGNALO!! ASPETTO RISPOSTA,Tecnico,media,pc rotto per l'ennesima volta l'audio nn si sente è la terza volta che lo segnalo aspetto risposta
268,smart working,anticipo stipendio non posso lavorare,Amministrazione,alta,smart working anticipo stipendio non posso lavorare
269,aiuto,devo modificare l'ordine (o forse era un'altra cosa?),Commerciale,bassa,aiuto devo modificare l'ordine o forse era un'altra cosa
270,urgente,ho perso tutti i documenti perché come sapete è già da un po' che ho questo problema e nn so più cosa fare,Tecnico,media,urgente ho perso tutti i documenti perché come sapete è già da un po' che ho questo problema e nn so più cosa fare
271,supporto,busta paga è sbagpiata magari un giorno,Amministrazione,bassa,supporto busta paga è sbagpiata magari un giorno
272,rotto,il pc praticamente fa rumori strani o qualcosa del genere devo risolvere oggi???,Tecnico,alta,rotto il pc praticamente fa rumori strani o qualcosa del genere devo risolvere oggi
273,rimborso,la fattura del  come dire  fornitore non quadra con le mie note spese boh deadline domani,Amministrazione,alta,rimborso la fattura del come dire fornitore non quadra con le mie note spese boh deadline domani
274,pc rotto,Buongiorno il pc si spegne da solo i clienti chiamano,Tecnico,alta,pc rotto buongiorno il pc si spegne da solo i clienti chiamano
275,computer,"non mi arrivano le mail dei clienti, controllate thx curiosità",Tecnico,bassa,computer non mi arrivano le mail dei clienti controllate thx curiosità
276,RICHIESTA,non è accettabile che vorrei chiedere le ferie non è possibile andare avanti così! riunione importante,Amministrazione,alta,richiesta non è accettabile che vorrei chiedere le ferie non è possibile andare avanti così riunione importante
277,aiuto,PER L'ENNESIMA VOLTA: DEVO FARE UN RESO INACCETTABILE!!! RIUNIONE IMPORTANTE,Commerciale,alta,aiuto per l'ennesima volta devo fare un reso inaccettabile riunione importante
278,mail,"Vi scrivo per non mi arrivano le mail dei clienti, controllate Ringraziando anticipatamente, porgo cordiali saluti. urgentissimo",Tecnico,alta,mail vi scrivo per non mi arrivano le mail dei clienti controllate ringraziando anticipatamente porgo cordiali saluti urgentissimo
279,730,devo scaricare  insomma  la cud ma il sito non funziona (o forse era un'altra cosa?),Amministrazione,media,730 devo scaricare insomma la cud ma il sito non funziona o forse era un'altra cosa
280,guasto,"Spett.le ufficio, l'articolo è disponibile In attesa di Vs. risposta, cordialmente.",Commerciale,media,guasto spett le ufficio l'articolo è disponibile in attesa di vs risposta cordialmente
281,pagamento,l'articolo è disponibile ...non ricordo bene niente di che ma il sistema è completamente bloccato!!,Commerciale,media,pagamento l'articolo è disponibile non ricordo bene niente di che ma il sistema è completamente bloccato
282,mail,Buongiorno teams non funziona ok? solo per sapere,Tecnico,bassa,mail buongiorno teams non funziona ok solo per sapere
283,lento,stampante nn stampa niente di grave,Tecnico,bassa,lento stampante nn stampa niente di grave
284,disponibilità,assistenza post vendita ok? è urgenete,Commerciale,alta,disponibilità assistenza post vendita ok è urgenete
285,smart working,gli straordinari non sono stati pagati deadline domani,Amministrazione,alta,smart working gli straordinari non sono stati pagati deadline domani
286,problema,il cedolino ha  più o meno  un errore o qualcosa del genere magari un giorno,Amministrazione,bassa,problema il cedolino ha più o meno un errore o qualcosa del genere magari un giorno
287,rimborso,lettera di referenze mah,Amministrazione,media,rimborso lettera di referenze mah
288,vi prego,il mouse non  non so se mi spiego  risponde boh niente di grave,Tecnico,bassa,vi prego il mouse non non so se mi spiego risponde boh niente di grave
289,permesso,voglio dare le dimissioni perché come sapete è già da un po' che ho questo problema e non so più cosa fare non so se si può,Amministrazione,bassa,permesso voglio dare le dimissioni perché come sapete è già da un po' che ho questo problema e non so più cosa fare non so se si può
290,FWD:,Ancora?? sollecito pagamento é la terza volta ke lo segnalo!! URGENTISSIMO,Commerciale,alta,fwd ancora sollecito pagamento é la terza volta ke lo segnalo urgentissimo
291,problema,non riesco a fare l'ordine onlnie il sito da errore perché come sapete e' già da un po' che ho qsto problema e n so più cs fare,Commerciale,bassa,problema non riesco a fare l'ordine onlnie il sito da errore perché come sapete e' già da un po' che ho qsto problema e n so più cs fare
292,permesso,vorrei chiedere ferie pensavo che forse,Amministrazione,bassa,permesso vorrei chiedere ferie pensavo che forse
293,non va,backup non parte sono fermo,Tecnico,alta,non va backup non parte sono fermo
294,sconto,Salve sollecito pagamento ok?,Commerciale,bassa,sconto salve sollecito pagamento ok
295,bloccato,l'audio non si sente perché come sapete è già da un po' che ho questo problema e non so più cosa fare è urgente,Tecnico,alta,bloccato l'audio non si sente perché come sapete è già da un po' che ho questo problema e non so più cosa fare è urgente
296,contratto,vorrei chiedere le ferie comunque sia vi chiedo di intervenire il prima possibile se potete bloccato completamente,Amministrazione,alta,contratto vorrei chiedere le ferie comunque sia vi chiedo di intervenire il prima possibile se potete bloccato completamente
297,Fwd:,non riesco a non so se mi spiego stampare (o forse era un'altra cosa?) aspetto risposta,Tecnico,media,fwd non riesco a non so se mi spiego stampare o forse era un'altra cosa aspetto risposta
298,(nessun oggetto),vorrei chiedere le ferie e aggiungo che un mio collega ha lo stesso identico problema quando potete,Amministrazione,media,nessun oggetto vorrei chiedere le ferie e aggiungo che un mio collega ha lo stesso identico problema quando potete
299,rotto,"Vi scrivo per richiesta smart working In attesa di Vs. risposta, cordialmente.",Amministrazione,media,rotto vi scrivo per richiesta smart working in attesa di vs risposta cordialmente
300,ticket,il gestionale fatture si blocca sempre quando apro le fatture stiamo perdendo tempo,Tecnico,alta,ticket il gestionale fatture si blocca sempre quando apro le fatture stiamo perdendo tempo
301,supporto,teams non funzina o qualcosa del genere non so se si può,Tecnico,bassa,supporto teams non funzina o qualcosa del genere non so se si può
302,errore sistema,"Buongiorno, il computer si spegne da solo Resto in attesa di un cortese riscontro. magari un giorno",Tecnico,bassa,errore sistema buongiorno il computer si spegne da solo resto in attesa di un cortese riscontro magari un giorno
303,PREVENTIVO,PER L'ENNESIMA VOLTA: PROMOZIONI ATTIVE PRETENDO UNA RISPOSTA OGGI!,Commerciale,media,preventivo per l'ennesima volta promozioni attive pretendo una risposta oggi
304,errore sistema,outlook non si apre comunque sia vi chiedo di intervenire il prima possibile se potete,Tecnico,media,errore sistema outlook non si apre comunque sia vi chiedo di intervenire il prima possibile se potete
305,prodotto,sono nuovo cliente il cliente aspetta,Commerciale,alta,prodotto sono nuovo cliente il cliente aspetta
306,busta paga,il contratto scade boh,Amministrazione,media,busta paga il contratto scade boh
307,schermo nero,"Gentilissimi, excel si chiude da solo Distinti saluti. non so se si può",Tecnico,bassa,schermo nero gentilissimi excel si chiude da solo distinti saluti non so se si può
308,segnalazione,devo fare il rimborso cm dire spese (o forse era un'altra cosa?),Amministrazione,bassa,segnalazione devo fare il rimborso cm dire spese o forse era un'altra cosa
309,fwd:,devo fare ordine ma ho bisogno dell'approvazione del budget devo partire,Commerciale,alta,fwd devo fare ordine ma ho bisogno dell'approvazione del budget devo partire
310,sconto,dov'è mio ordine bloccato completamente,Commerciale,alta,sconto dov'è mio ordine bloccato completamente
311,sconto,"BASTA! IL PRODOTTO È IN GARANZIA? INACCETTABILE!!! SO CHE È URGENTE MA NON C'È FRETTA, FATE CON COMODO",Commerciale,media,sconto basta il prodotto è in garanzia inaccettabile so che è urgente ma non c'è fretta fate con comodo
312,SMART WORKING,ANCORA?? VOGLIO CAMBIARE ORARIO E' LA TERZA VOLTA CHE LO SEGNALO,Amministrazione,media,smart working ancora voglio cambiare orario e' la terza volta che lo segnalo
313,errore,congedo parentale e aggiungo che un mio collega ha lo stesso identico problema,Amministrazione,media,errore congedo parentale e aggiungo che un mio collega ha lo stesso identico problema
314,documento,salve devo firmare il contratot cioa quando potete,Amministrazione,media,documento salve devo firmare il contratot cioa quando potete
315,Fwd:,con la presente devo fare un reso distinti saluti.,Commerciale,media,fwd con la presente devo fare un reso distinti saluti
316,offerta,avete il catalogo ok? deadline domani,Commerciale,alta,offerta avete il catalogo ok deadline domani
317,sconto,prodotto e' difettoso qnd potete,Commerciale,bassa,sconto prodotto e' difettoso qnd potete
318,supporto,cambio mansione,Amministrazione,media,supporto cambio mansione
319,aiuto,"Spett.le uufficio, non vedo le cartelle condivise Ringraziando anticipatamente, porgo cordiali saluti. quando potete",Tecnico,media,aiuto spett le uufficio non vedo le cartelle condivise ringraziando anticipatamente porgo cordiali saluti quando potete
320,CLIENTE,contratto di fornitura (o forse era un'altra cosa?) riunione importante,Commerciale,alta,cliente contratto di fornitura o forse era un'altra cosa riunione importante
321,non funziona,devo firmare  non so se mi spiego  il contratto o qualcosa del genere,Amministrazione,alta,non funziona devo firmare non so se mi spiego il contratto o qualcosa del genere
322,help,"Buongiorno, n mi arrivano le mail dei clienti, controllate Distinti saluti. devo partire?!",Tecnico,alta,help buongiorno n mi arrivano le mail dei clienti controllate distinti saluti devo partire
323,non va,BASTA! LA PASSWORD NN FUNZIONA PIÙ VOGLIO PARLARE CON UN RESPONSABILE! QUANDO POTETE,Tecnico,media,non va basta la password nn funziona più voglio parlare con un responsabile quando potete
324,prodotto,contratto fornitura,Commerciale,bassa,prodotto contratto fornitura
325,ferie,Buongiorno vorrei chiedere le ferie thx grazie,Amministrazione,media,ferie buongiorno vorrei chiedere le ferie thx grazie
326,stampa,Vi scrivo per schermo nero quando accendo Distinti saluti. non posso lavorare,Tecnico,alta,stampa vi scrivo per schermo nero quando accendo distinti saluti non posso lavorare
327,rimborso,"buongiorno il sistema delle ferie non mi fa inserire la richiesta, da errore ok?",Amministrazione,media,rimborso buongiorno il sistema delle ferie non mi fa inserire la richiesta da errore ok
328,lento,"non mi arrivano insomma le mail dei clienti, controllate o qualcosa del genere quando potete",Tecnico,bassa,lento non mi arrivano insomma le mail dei clienti controllate o qualcosa del genere quando potete
329,NON FUNZIONA,Vi scrivo per devo comunicare la malattia Grazie per la collaborazione.,Amministrazione,media,non funziona vi scrivo per devo comunicare la malattia grazie per la collaborazione
330,AIUTO,Per l'ennesima volta: sono in smart working ma il vpn non va e devo fare le note spese e un ordine Pretendo una risposta OGGI! URGENTISSIMO,Tecnico,alta,aiuto per l'ennesima volta sono in smart working ma il vpn non va e devo fare le note spese e un ordine pretendo una risposta oggi urgentissimo
331,smart working,devo scaricare la cud ma il sito non funziona perché come sapete e già da un po' che ho questo problema e non so più cosa fare,Amministrazione,media,smart working devo scaricare la cud ma il sito non funziona perché come sapete e già da un po' che ho questo problema e non so più cosa fare
332,UFFICIO PERSONALE,Non è accettabile che devo scaricare la cud ma il sito non funziona Voglio parlare con un responsabile! non so se si può,Amministrazione,bassa,ufficio personale non è accettabile che devo scaricare la cud ma il sito non funziona voglio parlare con un responsabile non so se si può
333,catalogo,Con la presente devo fare un reso Distinti saluti. è urgente,Commerciale,alta,catalogo con la presente devo fare un reso distinti saluti è urgente
334,importante,richiesta maternità comunque sia vi chiedo di intervenire il prima possibile se potete tutto bloccato,Amministrazione,alta,importante richiesta maternità comunque sia vi chiedo di intervenire il prima possibile se potete tutto bloccato
335,spedizione,"Spett.le ufficio, feedback sul servizio Ringraziando anticipatamente, porgo cordiali saluti.",Commerciale,bassa,spedizione spett le ufficio feedback sul servizio ringraziando anticipatamente porgo cordiali saluti
336,urgente,devo firmare  insomma  il contratto ...non ricordo bene,Amministrazione,bassa,urgente devo firmare insomma il contratto non ricordo bene
337,DISPONIBILITÀ,proposta di collaborazione grz,Commerciale,media,disponibilità proposta di collaborazione grz
338,computer,Buongiorno il mouse nn risponde serve subito,Tecnico,alta,computer buongiorno il mouse nn risponde serve subito
339,ORDINE,ANCORA?? POSSO AVERE UNO SCONTO PRETENDO UNA RISPOSTA OGGI! È UN'EMERGENZA,Commerciale,alta,ordine ancora posso avere uno sconto pretendo una risposta oggi è un'emergenza
340,catalogo,"Spett.le ufficio, vorreei un preventivo Ringraziando anticipatamente, porgo cordiali saluti.",Commerciale,bassa,catalogo spett le ufficio vorreei un preventivo ringraziando anticipatamente porgo cordiali saluti
341,da risolvere,vorrei dei campioni il cliente aspetta,Commerciale,alta,da risolvere vorrei dei campioni il cliente aspetta
342,password,lo schermo sfarfalla o qualcosa del genere magari un giorno,Tecnico,bassa,password lo schermo sfarfalla o qualcosa del genere magari un giorno
343,busta paga,cambio mansione mah,Amministrazione,media,busta paga cambio mansione mah
344,pc rotto,non ho più spazio sul disco inoltre vi faccio presente ke questa situazione va avanti da settimane solo per sapere,Tecnico,bassa,pc rotto non ho più spazio sul disco inoltre vi faccio presente ke questa situazione va avanti da settimane solo per sapere
345,non funziona,"Gentilissimi, non mi arrivano le mail dei clienti, controllate In attesa di Vs. risposta, cordialmente. aspetto risposta",Tecnico,media,non funziona gentilissimi non mi arrivano le mail dei clienti controllate in attesa di vs risposta cordialmente aspetto risposta
346,urgente,devo scaricare la  diciamo che  cud ma il sito non funziona ...non ricordo bene presentazione tra poco,Amministrazione,alta,urgente devo scaricare la diciamo che cud ma il sito non funziona non ricordo bene presentazione tra poco
347,problema pc,Desidero segnalare che non riesco ad accedere al portale per vedere la busta paga Grazie per la collaborazione. curiosità,Tecnico,bassa,problema pc desidero segnalare che non riesco ad accedere al portale per vedere la busta paga grazie per la collaborazione curiosità
348,password,lo schermo sfarfalla (o forse era un'altra cosa?),Tecnico,media,password lo schermo sfarfalla o forse era un'altra cosa
349,RECLAMO,Ancora?? il prodotto è difettoso Inaccettabile!!! URGENTE,Commerciale,alta,reclamo ancora il prodotto è difettoso inaccettabile urgente
350,aiuto,"Desidero segnalare che vorrei chiedere le ferie Ringraziando anticipatamente, porgo cordiali saluti. non so se si può",Amministrazione,bassa,aiuto desidero segnalare che vorrei chiedere le ferie ringraziando anticipatamente porgo cordiali saluti non so se si può
351,richiesta,Non è accettabile che mi serve un certificato di lavoro Voglio parlare con un responsabile!,Amministrazione,bassa,richiesta non è accettabile che mi serve un certificato di lavoro voglio parlare con un responsabile
352,PRODOTTO,devo fare un reso inoltre vi faccio presente ch questa situazione va avanti da settimane serve subbito,Commerciale,alta,prodotto devo fare un reso inoltre vi faccio presente ch questa situazione va avanti da settimane serve subbito
353,assistenza,non riesco ad accedere al  non so se mi spiego  computer o qualcosa del genere devo risolvere oggi,Tecnico,alta,assistenza non riesco ad accedere al non so se mi spiego computer o qualcosa del genere devo risolvere oggi
354,ordine,ci sono offerte devo risolvere oggi,Commerciale,alta,ordine ci sono offerte devo risolvere oggi
