id,title,body,category,priority
294,sconto,Salve sollecito pagamento ok?,Commerciale,bassa
295,bloccato,l'audio non si sente perché come sapete è già da un po' che ho questo problema e non so più cosa fare è urgente,Tecnico,alta
296,contratto,vorrei chiedere le ferie comunque sia vi chiedo di intervenire il prima possibile se potete bloccato completamente,Amministrazione,alta
297,Fwd:,non riesco a non so se mi spiego stampare (o forse era un'altra cosa?) aspetto risposta,Tecnico,media
298,(nessun oggetto),vorrei chiedere le ferie e aggiungo che un mio collega ha lo stesso identico problema quando potete,Amministrazione,media
299,rotto,"Vi scrivo per richiesta smart working In attesa di Vs. risposta, cordialmente.",Amministrazione,media
300,ticket,il gestionale fatture si blocca sempre quando apro le fatture stiamo perdendo tempo,Tecnico,alta
301,supporto,teams non funzina o qualcosa del genere non so se si può,Tecnico,bassa
302,errore sistema,"Buongiorno, il computer si spegne da solo Resto in attesa di un cortese riscontro. magari un giorno",Tecnico,bassa
303,PREVENTIVO,PER L'ENNESIMA VOLTA: PROMOZIONI ATTIVE PRETENDO UNA RISPOSTA OGGI!,Commerciale,media
304,errore sistema,outlook non si apre comunque sia vi chiedo di intervenire il prima possibile se potete,Tecnico,media
305,prodotto,sono nuovo cliente il cliente aspetta,Commerciale,alta
306,busta paga,il contratto scade boh,Amministrazione,media
307,schermo nero,"Gentilissimi, excel si chiude da solo Distinti saluti. non so se si può",Tecnico,bassa
308,segnalazione,devo fare il rimborso cm dire spese (o forse era un'altra cosa?),Amministrazione,bassa
309,fwd:,devo fare ordine ma ho bisogno dell'approvazione del budget devo partire,Commerciale,alta
310,sconto,dov'è mio ordine bloccato completamente,Commerciale,alta
311,sconto,"BASTA! IL PRODOTTO È IN GARANZIA? INACCETTABILE!!! SO CHE È URGENTE MA NON C'È FRETTA, FATE CON COMODO",Commerciale,media
312,SMART WORKING,ANCORA?? VOGLIO CAMBIARE ORARIO E' LA TERZA VOLTA CHE LO SEGNALO,Amministrazione,media
313,errore,congedo parentale e aggiungo che un mio collega ha lo stesso identico problema,Amministrazione,media
314,documento,salve devo firmare il contratot cioa quando potete,Amministrazione,media
315,Fwd:,con la presente devo fare un reso distinti saluti.,Commerciale,media
316,offerta,avete il catalogo ok? deadline domani,Commerciale,alta
317,sconto,prodotto e' difettoso qnd potete,Commerciale,bassa
318,supporto,cambio mansione,Amministrazione,media
319,aiuto,"Spett.le uufficio, non vedo le cartelle condivise Ringraziando anticipatamente, porgo cordiali saluti. quando potete",Tecnico,media
320,CLIENTE,contratto di fornitura (o forse era un'altra cosa?) riunione importante,Commerciale,alta
321,non funziona,devo firmare  non so se mi spiego  il contratto o qualcosa del genere,Amministrazione,alta
322,help,"Buongiorno, n mi arrivano le mail dei clienti, controllate Distinti saluti. devo partire?!",Tecnico,alta
323,non va,BASTA! LA PASSWORD NN FUNZIONA PIÙ VOGLIO PARLARE CON UN RESPONSABILE! QUANDO POTETE,Tecnico,media
324,prodotto,contratto fornitura,Commerciale,bassa
325,ferie,Buongiorno vorrei chiedere le ferie thx grazie,Amministrazione,media
326,stampa,Vi scrivo per schermo nero quando accendo Distinti saluti. non posso lavorare,Tecnico,alta
327,rimborso,"buongiorno il sistema delle ferie non mi fa inserire la richiesta, da errore ok?",Amministrazione,media
328,lento,"non mi arrivano insomma le mail dei clienti, controllate o qualcosa del genere quando potete",Tecnico,bassa
329,NON FUNZIONA,Vi scrivo per devo comunicare la malattia Grazie per la collaborazione.,Amministrazione,media
330,AIUTO,Per l'ennesima volta: sono in smart working ma il vpn non va e devo fare le note spese e un ordine Pretendo una risposta OGGI! URGENTISSIMO,Tecnico,alta
331,smart working,devo scaricare la cud ma il sito non funziona perché come sapete e già da un po' che ho questo problema e non so più cosa fare,Amministrazione,media
332,UFFICIO PERSONALE,Non è accettabile che devo scaricare la cud ma il sito non funziona Voglio parlare con un responsabile! non so se si può,Amministrazione,bassa
333,catalogo,Con la presente devo fare un reso Distinti saluti. è urgente,Commerciale,alta
334,importante,richiesta maternità comunque sia vi chiedo di intervenire il prima possibile se potete tutto bloccato,Amministrazione,alta
335,spedizione,"Spett.le ufficio, feedback sul servizio Ringraziando anticipatamente, porgo cordiali saluti.",Commerciale,bassa
336,urgente,devo firmare  insomma  il contratto ...non ricordo bene,Amministrazione,bassa
337,DISPONIBILITÀ,proposta di collaborazione grz,Commerciale,media
338,computer,Buongiorno il mouse nn risponde serve subito,Tecnico,alta
339,ORDINE,ANCORA?? POSSO AVERE UNO SCONTO PRETENDO UNA RISPOSTA OGGI! È UN'EMERGENZA,Commerciale,alta
340,catalogo,"Spett.le ufficio, vorreei un preventivo Ringraziando anticipatamente, porgo cordiali saluti.",Commerciale,bassa
341,da risolvere,vorrei dei campioni il cliente aspetta,Commerciale,alta
342,password,lo schermo sfarfalla o qualcosa del genere magari un giorno,Tecnico,bassa
343,busta paga,cambio mansione mah,Amministrazione,media
344,pc rotto,non ho più spazio sul disco inoltre vi faccio presente ke questa situazione va avanti da settimane solo per sapere,Tecnico,bassa
345,non funziona,"Gentilissimi, non mi arrivano le mail dei clienti, controllate In attesa di Vs. risposta, cordialmente. aspetto risposta",Tecnico,media
346,urgente,devo scaricare la  diciamo che  cud ma il sito non funziona ...non ricordo bene presentazione tra poco,Amministrazione,alta
347,problema pc,Desidero segnalare che non riesco ad accedere al portale per vedere la busta paga Grazie per la collaborazione. curiosità,Tecnico,bassa
348,password,lo schermo sfarfalla (o forse era un'altra cosa?),Tecnico,media
349,RECLAMO,Ancora?? il prodotto è difettoso Inaccettabile!!! URGENTE,Commerciale,alta
350,aiuto,"Desidero segnalare che vorrei chiedere le ferie Ringraziando anticipatamente, porgo cordiali saluti. non so se si può",Amministrazione,bassa
351,richiesta,Non è accettabile che mi serve un certificato di lavoro Voglio parlare con un responsabile!,Amministrazione,bassa
352,PRODOTTO,devo fare un reso inoltre vi faccio presente ch questa situazione va avanti da settimane serve subbito,Commerciale,alta
353,assistenza,non riesco ad accedere al  non so se mi spiego  computer o qualcosa del genere devo risolvere oggi,Tecnico,alta
354,ordine,ci sono offerte devo risolvere oggi,Commerciale,alta
355,mail,non riesco ad accedere al computer perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Tecnico,media
356,virus?,buongiorno il wifi non prende ciao serve subito,Tecnico,alta
357,rotto,sono in smart working ma il vpn non va e devo fare le note spese e un ordine e volevo anche dire ch ho già provato di tutto ma non funziona niente presentazione tra poco,Tecnico,alta
358,pc rotto,"BUONGIORNO NON MI ARRIVANO LE MAIL DEI CLIENTI, CONTROLLATE GRAZIE! RIUNIONE IMPORTANTE",Tecnico,alta
359,catalogo,salve la fattura è sbagliata grazie! stiamo perdendo tempo,Commerciale,alta
360,LEGGERE,"Ma è possibile che non mi arrivano le mail dei clienti, controllate Voglio parlare con un responsabile!",Tecnico,media
361,prodotto,proposta di collaborazione inoltre vi faccio presente che questa situzione va avanti da settimane,Commerciale,media
362,CEDOLINO,congedo parentale e aggiungo che un mio collega ha lo stesso identico problema,Amministrazione,media
363,spedizione,"Spett.le ufficio, ho pagato ma non risulta Grazie per la collaborazione. non posso lavorare",Commerciale,alta
364,internet,Con la ptesente l'audio nn si sente Grazie per la collaborazione. con calma,Tecnico,bassa
365,fattura,"Buongiorno, dov'è il mio ordine In attesa di Vs. risposta, cordialmente. solo per sapere",Commerciale,bassa
366,mail,Con la presente il pc è lentissimo Distinti saluti.,Tecnico,bassa
367,non va,"spett.le ufficio, l'audio non si sente distinti saluti.",Tecnico,bassa
368,prodotto,l'articolo é disponibilie solo per sapere,Commerciale,bassa
369,straordinari,"Con la presente documenti per la banca Ringraziando anticipatamente, porgo cordiali saluti. non posso lavorare",Amministrazione,alta
370,reso,devo fare un ordine ma ho bisogno dell'approvazione del budget grazie!!,Commerciale,media
371,busta paga,"Vi scrivo per devo firmare il contratto Ringraziando anticipatamente, porgo cordiali saluti.",Amministrazione,media
372,spedizione,"Spett.le ufficio, devo modificare l'ordine In attesa di Vs. risposta, cordialmente.",Commerciale,media
373,reclamo,verifica credito inoltre vi faccio presente che questa situazione va avanti da settimane non so se si può,Commerciale,bassa
374,mail,"Ancora?? ho preso un virus Pretendo una risposta OGGI! so che è urgente ma non c'è fretta, fate con comodo",Tecnico,media
375,stampa,programma si blocca sempre,Tecnico,media
376,busta paga,voglio cambiare orario boh,Amministrazione,media
377,ticket,la busta paga è sbagliata ciao già ke ci siete,Amministrazione,bassa
378,disponibilità,Ehi dov'è il mio ordine grazie! pensavo che forse,Commerciale,bassa
379,prodotto,informazioni sui prodotti,Commerciale,media
380,aiuto,non riesco ad accedere al portale per vedere la busta paga non c'è fretta,Tecnico,bassa
381,RICHIESTA,MA È POSSIBILE CHE OUTLOOK NON SI APRE PRETENDO UNA RISPOSTA OGGI! SERVE SUBITO,Tecnico,alta
382,urgente,"non mi arrivano le mail dei praticamente clienti, controllate nn ricordo bene aspetto risposta",Tecnico,media
383,da risolvere,prodotto è difettoso non è urgente,Commerciale,bassa
384,aiuto,ehi la fattura è sbagliata grz,Commerciale,media
385,contratto,ho bisogno permesso,Amministrazione,bassa
386,urgente,richiesta maternità ok?,Amministrazione,media
387,Fwd:,"Gentilissimi, excel si chiude da solo Grazie x la collaborazione. grz",Tecnico,media
388,virus?,word non salva i file comunque sia vi chiedo di intervenire il prima possibile se potete,Tecnico,bassa
389,fattura,assistenza post vendita con calma,Commerciale,bassa
390,da risolvere,"la mail per le note spese n parte, come faccio inoltre vi faccio presente che questa situazione va avanti da settimane non è urgente",Amministrazione,bassa
391,permesso,mi serve un certificato di lavoro inoltre vi faccio presente che questa situazione va avanti da settimane,Amministrazione,bassa
392,PASSWORD,PER L'ENNESIMA VOLTA: IL MOUSE NON RISPONDE È LA TERZA VOLTA CHE LO SEGNALO!! SERVE SUBITO,Tecnico,alta
393,pagamento,Salve informazioni sui prodotti thx,Commerciale,media
394,errore,devo fare il rimborso  diciamo che  spese boh,Amministrazione,media
395,sconto,sollecito pagamento presentazione tra poco,Commerciale,alta
396,da risolvere,ho perso tutti i documenti perché come sapete e già da un po' che ho questo problema e non so più kosa fare era solo un'idea,Tecnico,bassa
397,offerta,LA FATTURA E' NEL SENSO SBAGLIATA ...NON RICORDO BENE,Commerciale,media
398,catalogo,ANCORA?? AVETE IL CATALOGO NON È POSSIBILE ANDARE AVANTI COSÌ! SERVE SUBITTO,Commerciale,alta
399,reclamo,l'articolo è disponibile ciao,Commerciale,media
400,prodotto,upgrade del piano,Commerciale,media
401,schermo nero,non vedo le cartelle condivise perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Tecnico,media
402,hr,richiesta smart working perché come sapete è già da un po' ch ho questo problema e non so più cosa fare riunione importante,Amministrazione,alta
403,reclamo,"Spett.le ufficio, devo fare un reso Ringraziando anticipatamente, porgo cordiali saluti.",Commerciale,media
404,cedolino,ehi devo scaricare la cud ma il sito non funziona graize quando poteet,Amministrazione,media
405,rimborso,devo parlare con insomma hr ...non ricordo bene deadline domani,Amministrazione,alta
406,errore,proposta di collborazione comunque sia vi chiedo di intervenire il prima possibile se potete,Commerciale,bassa
407,segnalazione,devo fare un ordine ma ho bisogno dell'approvazione del budget xke come sapete è già da un po' ch ho questo problema e non so più cosa fare aspetto risposta,Commerciale,media
408,virus?,la password come dire non funzina più boh,Tecnico,media
409,ferie,"Buongiorno, il cedolino ha un errore In attesa di Vs. risposta, cordialmente.",Amministrazione,alta
410,segnalazione,PER L'ENNESIMA VOLTA: LA STAMPANTE NON STAMPA VOGLIO PARLARE CON UN RESPONSABILE! QUANDO POTETE!!,Tecnico,media
411,problema pc,non riesco ad accedere al portale vedere busta paga solo per sapere,Tecnico,bassa
412,malattia,Ehi cambio mansione grz il cliente aspetta,Amministrazione,alta
413,(nessun oggetto),webcam nn funzina,Tecnico,media
414,fattura,Ehi promozioni attive thx dobbiamo consegnare,Commerciale,alta
415,documento,Desidero segnalare che documenti per la banca Resto in attesa di un cortese riscontro. é un'emergenza,Amministrazione,alta
416,aiuto,"Buongiorno, documenti per la banca Ringraziando anticipatamente, porgo cordiali saluti. fatemi sapere ah dimenticavo questa cosa urgnte quando potete rispondete",Amministrazione,media
417,internet,vpn non si connette,Tecnico,media
418,rete,il pc n funziona e nn riesco a mandare l'ordine né a timbrare le ferie grz,Tecnico,media
419,internet,webcam non funziona,Tecnico,alta
420,ufficio personale,devo firmare il contratto inoltre vi faccio presente che questa situazione va avanti da settimane,Amministrazione,media
421,permesso,"la mail x più o meno le note spese non parte, cm faccio o qualcosa del genere quando potete",Amministrazione,bassa
422,busta paga,richiesta maternità inoltre vi faccio presente che questa situazione va avanti da settimane dobbiamo consegnare,Amministrazione,alta
423,(NESSUN OGGETTO),NON È ACCETTABILE CHE HO PRESO UN VIRUS NON È POSSIBILE ANDARE AVANTI COSÌ!,Tecnico,bassa
424,prodotto,ci sono offerte,Commerciale,media
425,ordine,SONO NUOVO CLIENTE,Commerciale,media
426,BLOCCATO,ho preso un virus e aggiungo che un mio collega ha lo stesso identico problema,Tecnico,media
427,730,detrazioni fiscali mah devo risolvere oggi,Amministrazione,alta
428,virus?,backup non parte i clienti chiamano,Tecnico,alta
429,vi prego,feedback sul servizio o qualcosa del genere,Commerciale,media
430,LEGGERE,X L'ENNESIMA VOLTA: INFORMAZZIONI SUI PRODOTTI VOGLIO PARLARE CON UN RESPONSABILE! N SO SE SI PUÒ,Commerciale,bassa
431,spedizione,Ehi sostituzione articolo grazie!,Commerciale,media
432,reclamo,voglio disdire,Commerciale,bassa
433,LEGGERE,la busta  più o meno  paga è sbagliata boh devo risolvere oggi,Amministrazione,alta
434,PRODOTTO,Ma è possibile che il prodotto è difettoso Voglio parlare con un responsabile! PRESENTAZIONE TRA POCO,Commerciale,alta
435,fattura,vorrei un preventivo e aggiungo che un mio collega ha lo stesso identico problema quando potete,Commerciale,bassa
436,problema pc,"con la presente non mi arrivano le mail dei clienti, controllate ringraziando anticipatamente, porgo cordiali saluti. siamo in ritardo",Tecnico,alta
437,fattura,posso avere uno sconto il cliente aspetta,Commerciale,alta
438,richiesta,cambio mansione,Amministrazione,media
439,pc rotto,il programma si blocca diciamo che sempre o qualcosa del genere quando potete,Tecnico,bassa
440,ordine,contratto di fornitura comunque sia vi chiedo di intervenire il prima possibile se potete,Commerciale,bassa
441,permesso,devo fiirmare come dire il contratto ...non ricordo bene bloccato completamente,Amministrazione,alta
442,domanda,schermo nero qando accendo quando potete,Tecnico,bassa
443,schermo nero,ho preso non so se mi spiego un virus boh sno fermo,Tecnico,alta
444,contratto,"Gentilissimi, devo comunicare la malattia In attesa di Vs. risposta, cordialmente. curiosità",Amministrazione,bassa
445,leggere,Salve devo rinnovare l'abbonamento ciao,Commerciale,bassa
446,cedolino,devo cambiare l'iban mah,Amministrazione,bassa
447,catalogo,ANCORA?? AVETE IL CATALOGO È LA TERZA VOLTA CHE LO SEGNALO!! PENSAVO CHE FORSE!!!,Commerciale,bassa
448,aiuto,"spett.le ufficio, ho perso tutti i documenti ringraziando anticipatamente, porgo cordiali saluti. dobbiamo consegnare",Tecnico,alta
449,permesso,Salve ho bisogno di un permesso grazie!,Amministrazione,media
450,sconto,devo fare  come dire  un reso ...non ricordo bene,Commerciale,media
451,leggere,devo fare come dire un ordine ma ho bisogno dell'approvazone del budget ...non ricordo bene dobbiamo consegnare,Commerciale,alta
452,problema pc,tastiera rotta comunque sia vi chiedo di intervenire il prima possibile se potete è un'emergenza,Tecnico,alta
453,reclamo,"non riesco a fare l'ordine online, il sito da errore e aggiungo che un mio collega ha lo stesso identico problema serve subito",Commerciale,alta
454,documento,il cedolino ha più o meno un errore o qualcosa del genere,Amministrazione,bassa
455,bloccato,sono in smart working ma il vpn non  nel senso  va e devo fare le note spese e un ordine mah riunione importante,Tecnico,alta
456,rimborso,devo parlare hr non riesco a fare niente,Amministrazione,alta
457,hr,richiesta maternità non è urgente,Amministrazione,bassa
458,SCONTO,sollecito pagamento ...non ricordo bene quando potete,Commerciale,media
459,ufficio personale,Vi scrivo per la mail per le note spese non parte kome faccio Distinti saluti,Amministrazione,media
460,HR,Per l'ennesima volta: documenti per la banca Pretendo una risposta OGGI!,Amministrazione,media
461,help,teams n funziona il capo chiede,Tecnico,alta
462,sconto,PROPOSTA COLLABORAZIONE SE AVETE TEMPO,Commerciale,bassa
463,problema,la fattura del fornitore più o meno non quadra con le mie note spese o qualcosa del genere bloccato completamente,Amministrazione,alta
464,730,CAMBIO MANSIONE MAH E' UN'EMERGENZA,Amministrazione,alta
465,preventivo,l'articolo è disponibile URGENTE,Commerciale,alta
466,permesso,la busta paga nel senso è sbagliata nn ricordo bene,Amministrazione,media
467,errore sistema,PER L'ENNESIMA VOLTA: NON RIESCO A STAMPARE PRETENDO UNA RISPOSTA OGGI!,Tecnico,media
468,password,la mail non  come dire  parte (o forse era un'altra cosa?) era solo un'idea,Tecnico,bassa
469,cedolino,aiuto con il  più o meno  730 mah aspetto risposta,Amministrazione,media
470,sconto,voglio annullare l'ordine comunque sia vi chiedo di intervenire il prima possibile se potete,Commerciale,media
471,schermo nero,"Buongiorno, non riesco ad accedere al portale per vedere la busta paga In attesa di Vs. risposta, cordialmente. non riesco a fare niente",Tecnico,alta
472,ufficio personale,"Gentilissimi, devo comunicare la malattia Distinti saluti. presentazione tra poco",Amministrazione,alta
473,vpn,Desidero segnalare che il backup non parte Grazie per la collaborazione. non posso lavorare,Tecnico,alta
474,contratto,detrazioni fiscali comunque sia vi chiedo di intervenire il prima possibile se potete magari un giorno,Amministrazione,bassa
475,straordinari,devo cambiare l'iban i clienti chiamano,Amministrazione,alta
476,ufficio personale,mi serve cud,Amministrazione,media
477,permesso,il contratto scade comunque sia vi chiedo di intervenire il prima possibile se potete,Amministrazione,media
478,malattia,informazioni sul tfr graz,Amministrazione,media
479,busta paga,vorrei chiedere ferie,Amministrazione,media
480,aiuto,Per l'ennesima volta: schermo nero quando accendo Pretendo una risposta OGGI!,Tecnico,media
481,smart working,Salve voglio dare le dimissioni grz aspetto risposta,Amministrazione,media
482,busta paga,richiesta maternità mah,Amministrazione,media
483,reclamo,devo fare un ordine ma ho bisogno dell'approvazione del budget,Commerciale,media
484,reclamo,"Vi scrivo per sostituzione articolo In attesa di Vs. risposta, cordialmente. fatemi sapere",Commerciale,media
485,segnalazione,informazioni prestito aziendale thx,Amministrazione,media
486,ferie,devo cambiare l'iban,Amministrazione,media
487,mail,la stampante non come dire stampa boh qando potete,Tecnico,media
488,rete,programma si blocca sempre,Tecnico,media
489,pc rotto,computer si spegne solo,Tecnico,alta
490,fattura,"Ciao, vorrei un preventivo ciao il cliente aspetta",Commerciale,alta
491,(nessun oggetto),spedizione urgenete,Commerciale,alta
492,guasto,devo fare ordine ma ho bisogno dell'approvazione del budget serve subito,Commerciale,alta
493,(NESSUN OGGETTO),ANCORA?? DOCUMENTI PER LA BANCA NON È POSSIBILE ANDARE AVANTI COSÌ!,Amministrazione,media
494,schermo nero,programma si blocca sempre grazie,Tecnico,media
495,ferie,la busta paga non so se mi spiego è sbagliata o qualcosa del genere siamo in ritardo,Amministrazione,alta
496,guasto,pc non funziona e non riesco mandare l'ordine né timbrare ferie magari un giorno,Tecnico,bassa
497,cedolino,voglio cambiare orario e aggiungo che un mio collega ha lo stesso identico problema fatemi sapere,Amministrazione,media
498,non funziona,Ehi informazioni sui prodotti ciao,Commerciale,media
499,internet,la mail non  non so se mi spiego  parte mah,Tecnico,media
500,permesso,devo firmare il contratto comunque sia vi chiedo di intervenire il prima possibile se potete non posso lavorare,Amministrazione,alta
501,rete,Ma è possibile che teams non funziona È la terza volta che lo segnalo!! con calma,Tecnico,bassa
502,CLIENTE,"SPETT.LE UFFICIO, IL MIO ORDINE E IN RITARDO DISTINTI SALUTI. SERVE SUBBITO",Commerciale,alta
503,info,nota spese da approvare thx,Amministrazione,media
504,lento,ANCORA?? OUTLOOK NON SI APRE VOGLIO PARLARE CON UN RESPONSABILE! ASPETTO RISPOSTA,Tecnico,media
505,pc rotto,ho preso  non so se mi spiego  un virus ...non ricordo bene,Tecnico,bassa
506,ordine,devo fare ordine ma ho bisogno dell'approvazione del budget URGENTE,Commerciale,alta
507,fattura,"Desidero segnalare che verifica credito Ringraziando anticipatamente, porgo cordiali saluti. serve subito",Commerciale,alta
508,pagamento,ho pagato ma non risulta,Commerciale,media
509,Fwd:,richiesta smart working boh,Amministrazione,alta
510,password,il pc fa rumori strani comunque sia vi chiedo di intervenire il prima possibile se potete fatemi sapere,Tecnico,media
511,computer,ma è possibile che excel si chiude da solo è la terza volta che lo segnalo!! con calma,Tecnico,bassa
512,offerta,ho pagato  insomma  ma non risulta (o forse era un'altra cosa?) quando potete,Commerciale,bassa
513,vi prego,"desidero segnalare che il mouse non risponde ringraziando anticipatamente, porgo cordiali saluti.",Tecnico,media
514,AIUTO,"MA È POSSIBILE CHE IL SISTEMA DELLE FERIE NON MI FA INSERIRE LA RICHIESTA, DA ERRORE INACCETTABILE!!! NON POSSO LAVORARE",Amministrazione,alta
515,(NESSUN OGGETTO),Basta! ho bisogno di un permesso Inaccettabile!!! NON POSSO LAVORARE,Amministrazione,alta
516,pc rotto,pc non funziona e non riesco mandare l'ordine né timbrare ferie,Tecnico,bassa
517,catalogo,AVETE IL CATALOGO O QUALCOSA DEL GENERE IL CLIENTE ASPETTA,Commerciale,alta
518,internet,la mail non parte perché come sapete e' già da un po' ke ho questo problema e non so più cosa fare URGENTE?!,Tecnico,alta
519,RECLAMO,NON È ACCETTABILE KE AVETE IL CATALOGO È LA TERZA VOLTA KE LO SEGNALO!!,Commerciale,bassa
520,730,Non è accettabile ch informazioni prestito aziendale Voglio parlare con un responsabile! curiosità,Amministrazione,bassa
521,straordinari,"ciao, assegni familiari grz devo partire",Amministrazione,alta
522,schermo nero,Non e' accettabile che internet non funziona Non è possibile andare avanti così!,Tecnico,media
523,richiesta,devo cambiare l'iban boh non è urgente,Amministrazione,bassa
524,schermo nero,il pc non si accende e aggiungo ch un mio collega ha lo stesso identico problemma,Tecnico,bassa
525,contratto,info sul tfr,Amministrazione,media
526,bloccato,internet non funziona e volevo anche dire che ho già provato di tutto ma non funziona niente niente di grave,Tecnico,bassa
527,mail,"non ho più spazio sul disco so ke è urgente ma non c'è fretta, fate con comodo",Tecnico,media
528,VI PREGO,Ma è possibile che il prodotto è difettoso Non è possibile andare avanti così!,Commerciale,media
529,schermo nero,Con la presente non mi fa entrare nel sistema Resto in attesa di un cortese riscontro,Tecnico,bassa
530,errore sistema,L'AUDIO NON SI SENTE INOLTRE VI FACCIO PRESENTE CHE QUESTA SITUAZIONE VA AVANTI DA SETTIMANE SE AVETE TEMPO,Tecnico,bassa
531,cedolino,devo parlare hr bloccato completamente,Amministrazione,alta
532,SCHERMO NERO,il programma  non so se mi spiego  si blocca sempre ...non ricordo bene,Tecnico,bassa
533,PREVENTIVO,il mio ordine e' in ritardo perche come sapete è già da un po' che ho questo problema e non so più cosa fare,Commerciale,media
534,preventivo,prodotto e' garanzia? dvo risolvere oggi,Commerciale,alta
535,Fwd:,Ehi ho perso tutti i documenti thx non è urgente,Tecnico,bassa
536,contratto,richiesta maternità comunque sia vi chiedo di intervenire il prima possibile se potete,Amministrazione,media
537,spedizione,"Ciao, la fattura è sbagliata grz",Commerciale,bassa
538,assistenza,Basta! informazioni prestito aziendale Pretendo una risposta OGGI! é URGENTE,Amministrazione,alta
539,cedolino,vorrei chiedere ferie niente di grave,Amministrazione,bassa
540,password,gestionale fatture si blocca sempre quando apro fatture il cliente aspetta,Tecnico,alta
541,fattura,"Vi scrivo per dov'è il mio ordine In attesa di Vs. risposta, cordialmente. il cliente aspetta",Commerciale,alta
542,bloccato,il monitor non si cm dire accende boh quando potete,Tecnico,bassa
543,urgente,non riesco ad accedere al computer ok? dobbiamo consegnare,Tecnico,alta
544,Re: Re:,documenti per la banca perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Amministrazione,alta
545,cliente,mio ordine è ritardo,Commerciale,media
546,richiesta,"ciao, il pc non funziona e non riesco a mandare l'ordine né a timbrare le ferie grz",Tecnico,media
547,richiesta,nota spese da approvare e volevo anche dire che ho già provato di tutto ma non funziona niente devo risolvere oggi,Amministrazione,alta
548,schermo nero,internet non funziona e aggiungo che un mio collega ha lo stesso identico problema,Tecnico,media
549,errore,il mio ordine é in ritardo,Commerciale,media
550,richiesta,"Basta! la mail per le note spese jon parte, come faccio È la terza volta ch lo segnalo!! grz",Amministrazione,media
551,permesso,Con la presente lettera di referenze Grazie per la collaborazione.,Amministrazione,media
552,mail,"Ciao, sono in smart working ma il vpn non va e devo fare le note spese e un ordine grazie! aspetto risposta",Tecnico,media
553,rotto,i contributi sono sbagliati perché come sapete e già da un po' ke ho questo problema e non so più cosa fare,Amministrazione,alta
554,preventivo,spedizione urgnte e aggiungo che un mio collega ha lo stesso identico probelma,Commerciale,media
555,segnalazione,avete il catalogo boh tutto bloccato,Commerciale,alta
556,problema,il prodotto è praticamente difettoso mah,Commerciale,media
557,MAIL,Basta! il backup non parte Pretendo una risposta OGGI!???,Tecnico,bassa
558,vi prego,Buongiorno sono in smart working ma il vpn non va e devo fare le note spese e un ordine il capo chiede,Tecnico,alta
559,mail,Salve il wifi non prende grz,Tecnico,bassa
560,smart working,RICHIESTA MATERNITÀ NN RICORDO BENE,Amministrazione,bassa
561,hr,devo fare trasferta aspetto risposta niente di che ma il sistema è completamente bloccato,Amministrazione,media
562,disponibilità,il mio ordine è in ritardo e aggiungo ch un mio collega ha lo stesso identico problema,Commerciale,media
563,pagamento,salve assistenza post vendita grazie!,Commerciale,media
564,problema,anticipo stipendio,Amministrazione,media
565,rimborso,voglio dare le dimissioni grazie!,Amministrazione,media
566,errore sistema,Non e' accettabile ch il pc e lentissimo Pretendo una risposta OGGI! DEVO PARTIRE,Tecnico,alta
567,reso,informazioni sui prodotti,Commerciale,media
568,pc rotto,pc è lentissimo,Tecnico,bassa
569,assistenza,Salve la mail nn parte grz,Tecnico,media
570,730,il cedolino  cioè  ha un errore (o forse era un'altra cosa?) non so se si può,Amministrazione,bassa
571,(nessun oggetto),informazzioni sui prodotti curiosità,Commerciale,bassa
572,richiesta,"Spett.le ufficio, non riesco ad accedere al portale per vedere la busta paga In attesa di Vs. risposta, cordialmente.",Tecnico,alta
573,documento,"Gentilissimi, voglio cambiare orario Resto in attesa di un cortese riscontro. magari un giorno",Amministrazione,bassa
574,rotto,"non riesco fare l'ordine online, sito errore è un'emergenza",Commerciale,alta
575,spedizione,assistenza post vendita e aggiungo che un mio collega ha lo stesso identico problema quando potete,Commerciale,media
576,SMART WORKING,informazioni sul tfr inoltre vi faccio presente che questa situazione va avanti da settimane devo partire,Amministrazione,alta
577,help,pc è lentissimo già che ci siete,Tecnico,bassa
578,prodotto,"Gentilissimi, non riesco a fare l'ordine online, il sito da errore In attesa di Vs. risposta, cordialmente.",Commerciale,media
579,segnalazione,non riesco fare l'ordine online sito errore graz!!!,Commerciale,media
580,ufficio personale,"Desidero segnalare che anticipo stipendio Ringraziando anticipatamente, porgo cordiali saluti. ah dimenticavo questa cosa urgente... quando potete rispondete",Amministrazione,media
581,catalogo,Ehi sollecito pagamento ok? presentazione tra poco???,Commerciale,alta
582,documento,devo firmare il contratto perché come sapete è già da un po' che ho questo problema e non so più cosa fare,Amministrazione,media
583,ordine,il prodotto é difettoso inoltre vi faccio presente che questa situazione va avanti da settimane bloccato cmopletamente,Commerciale,alta
584,disponibilità,"Spet.le ufficio, sollecito pagamento Ringraziando anticipatamente, porgo cordiali saluti. presentazione tra poco",Commerciale,alta
585,non va,schermo sfarfalla,Tecnico,media
586,domanda,devo rinnovare l'abbonamento graz,Commerciale,media
587,permesso,"Con la presente lettera di referenze Ringraziando anticipatamente, porgo cordiali saluti. il capo chiede",Amministrazione,alta
